web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681172259-14007","https://cocktailflow.com/collection/on-the-beach","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","Ingredients"
"1681172259-14008","https://cocktailflow.com/collection/on-the-beach","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","½ parts jägermeister"
"1681172259-14009","https://cocktailflow.com/collection/on-the-beach","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","½ parts coconut rum"
"1681172259-14010","https://cocktailflow.com/collection/on-the-beach","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","½ parts pineapple juice"
"1681172259-14011","https://cocktailflow.com/collection/on-the-beach","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","How to Mix"
"1681172259-14012","https://cocktailflow.com/collection/on-the-beach","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","fill up the shaker with ice"
"1681172259-14013","https://cocktailflow.com/collection/on-the-beach","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","pour pineapple juice,coconut rum,jägermeister into the shaker"
"1681172259-14014","https://cocktailflow.com/collection/on-the-beach","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","shake well"
"1681172259-14015","https://cocktailflow.com/collection/on-the-beach","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","strain into the shot glass"
"1681172261-14016","https://cocktailflow.com/collection/on-the-beach","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","Ingredients"
"1681172261-14017","https://cocktailflow.com/collection/on-the-beach","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","1 part white rum"
"1681172261-14018","https://cocktailflow.com/collection/on-the-beach","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","1 tsp sugar syrup"
"1681172261-14019","https://cocktailflow.com/collection/on-the-beach","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","1 part lime juice"
"1681172261-14020","https://cocktailflow.com/collection/on-the-beach","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","2 parts pineapple juice"
"1681172261-14021","https://cocktailflow.com/collection/on-the-beach","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","2 parts ginger ale"
"1681172261-14022","https://cocktailflow.com/collection/on-the-beach","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","ice cubes"
"1681172261-14023","https://cocktailflow.com/collection/on-the-beach","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","How to Mix"
"1681172261-14024","https://cocktailflow.com/collection/on-the-beach","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","fill up the glass with ice"
