web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681399104-1","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","Ingredients"
"1681399104-2","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","2½ parts vodka"
"1681399104-3","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","1 part coffee liqueur"
"1681399104-4","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","1½ parts half & half"
"1681399104-5","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","ice cubes"
"1681399104-6","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","How to Mix"
"1681399104-7","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","fill up the glass with ice"
"1681399104-8","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","fill up the shaker with ice cubes"
"1681399104-9","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","pour coffee liqueur,vodka into the shaker"
"1681399104-10","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","shake well"
"1681399104-11","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","strain into the glass"
"1681399104-12","https://cocktailflow.com/collection/color-black","White RussianVodkaClassicCreamyShortMedium","https://cocktailflow.com/cocktail/white-russian","gently layer the half & half"
"1681399107-13","https://cocktailflow.com/collection/color-black","Mind EraserVodkaShortMedium","https://cocktailflow.com/cocktail/mind-eraser","Ingredients"
"1681399107-14","https://cocktailflow.com/collection/color-black","Mind EraserVodkaShortMedium","https://cocktailflow.com/cocktail/mind-eraser","1½ parts vodka"
"1681399107-15","https://cocktailflow.com/collection/color-black","Mind EraserVodkaShortMedium","https://cocktailflow.com/cocktail/mind-eraser","1½ parts coffee liqueur"
"1681399107-16","https://cocktailflow.com/collection/color-black","Mind EraserVodkaShortMedium","https://cocktailflow.com/cocktail/mind-eraser","2 parts tonic"
"1681399107-17","https://cocktailflow.com/collection/color-black","Mind EraserVodkaShortMedium","https://cocktailflow.com/cocktail/mind-eraser","ice cubes"
"1681399107-18","https://cocktailflow.com/collection/color-black","Mind EraserVodkaShortMedium","https://cocktailflow.com/cocktail/mind-eraser","How to Mix"
"1681399107-19","https://cocktailflow.com/collection/color-black","Mind EraserVodkaShortMedium","https://cocktailflow.com/cocktail/mind-eraser","fill up the old fashioned glass with ice"
"1681399107-20","https://cocktailflow.com/collection/color-black","Mind EraserVodkaShortMedium","https://cocktailflow.com/cocktail/mind-eraser","pour tonic,coffee liqueur,vodka into the glass"
"1681399107-21","https://cocktailflow.com/collection/color-black","Mind EraserVodkaShortMedium","https://cocktailflow.com/cocktail/mind-eraser","stir together"
"1681399107-22","https://cocktailflow.com/collection/color-black","Mind EraserVodkaShortMedium","https://cocktailflow.com/cocktail/mind-eraser","drink all at once through a straw"
"1681399109-23","https://cocktailflow.com/collection/color-black","Black SantaVodkaShortStrong","https://cocktailflow.com/cocktail/black-santa","Ingredients"
"1681399109-24","https://cocktailflow.com/collection/color-black","Black SantaVodkaShortStrong","https://cocktailflow.com/cocktail/black-santa","2 parts vodka"
"1681399109-25","https://cocktailflow.com/collection/color-black","Black SantaVodkaShortStrong","https://cocktailflow.com/cocktail/black-santa","1 part coffee liqueur"
