web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681399217-85","https://cocktailflow.com/collection/color-blue","Blue TequilaTequilaShooterStrong","https://cocktailflow.com/cocktail/blue-tequila","Ingredients"
"1681399217-86","https://cocktailflow.com/collection/color-blue","Blue TequilaTequilaShooterStrong","https://cocktailflow.com/cocktail/blue-tequila","1 part tequila"
"1681399217-87","https://cocktailflow.com/collection/color-blue","Blue TequilaTequilaShooterStrong","https://cocktailflow.com/cocktail/blue-tequila","1 part Blue Curacao"
"1681399217-88","https://cocktailflow.com/collection/color-blue","Blue TequilaTequilaShooterStrong","https://cocktailflow.com/cocktail/blue-tequila","How to Mix"
"1681399217-89","https://cocktailflow.com/collection/color-blue","Blue TequilaTequilaShooterStrong","https://cocktailflow.com/cocktail/blue-tequila","pour Blue Curacao into the glass"
"1681399217-90","https://cocktailflow.com/collection/color-blue","Blue TequilaTequilaShooterStrong","https://cocktailflow.com/cocktail/blue-tequila","gently layer the tequila"
"1681399217-91","https://cocktailflow.com/collection/color-blue","Blue TequilaTequilaShooterStrong","https://cocktailflow.com/cocktail/blue-tequila","use the back of a teaspoon to separate layers when pouring"
"1681399219-92","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","Ingredients"
"1681399219-93","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","2 parts vodka"
"1681399219-94","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","1 part Blue Curacao"
"1681399219-95","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","½ parts coconut cream"
"1681399219-96","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","1 part cream"
"1681399219-97","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","4½ parts apple juice"
"1681399219-98","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","ice"
"1681399219-99","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","How to Mix"
"1681399219-100","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","add vodka,coconut cream,ice,cream,apple juice,Blue Curacao to the shaker"
"1681399219-101","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","shake well"
"1681399219-102","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","strain into the hurricane glass"
"1681399219-103","https://cocktailflow.com/collection/color-blue","Swimming PoolVodkaTropicalLight","https://cocktailflow.com/cocktail/swimming-pool","garnish with cocktail cherry"
"1681399221-104","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","Ingredients"
"1681399221-105","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","1 part white rum"
"1681399221-106","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","1 part coconut liqueur"
"1681399221-107","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","½ parts Blue Curacao"
"1681399221-108","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","2 parts pineapple juice"
"1681399221-109","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","ice cubes"
"1681399221-110","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","How to Mix"
"1681399221-111","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","fill up the shaker with ice cubes"
"1681399221-112","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","pour pineapple juice,Blue Curacao,coconut liqueur,white rum into the shaker"
"1681399221-113","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","shake well"
"1681399221-114","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","strain into the hurricane glass"
"1681399221-115","https://cocktailflow.com/collection/color-blue","Blue HawaiianRumTropicalMedium","https://cocktailflow.com/cocktail/blue-hawaiian","garnish with cocktail cherry"
"1681399223-116","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","Ingredients"
"1681399223-117","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","2 parts vodka"
"1681399223-118","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","2 parts irish cream"
"1681399223-119","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","2 parts Blue Curacao"
"1681399223-120","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","3 parts cola"
"1681399223-121","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","ice cubes"
"1681399223-122","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","How to Mix"
"1681399223-123","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","add ice to the collins glass"
"1681399223-124","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","pour vodka,irish cream into the glass"
"1681399223-125","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","fill up the glass with cola"
"1681399223-126","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","add Blue Curacao to the glass"
"1681399223-127","https://cocktailflow.com/collection/color-blue","Sea BottomVodkaLongdrinkCreamyMedium","https://cocktailflow.com/cocktail/sea-bottom","garnish with"
"1681399226-128","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","Ingredients"
"1681399226-129","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","2 parts vodka"
"1681399226-130","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","1 part Blue Curacao"
"1681399226-131","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","1 tbsp lemon juice"
"1681399226-132","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","3 parts water"
"1681399226-133","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","ice cubes"
"1681399226-134","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","How to Mix"
"1681399226-135","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","add ice to the collins glass"
"1681399226-136","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","pour vodka,Blue Curacao into the glass"
"1681399226-137","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","fill up the glass with water,lemon juice"
"1681399226-138","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","stir together"
"1681399226-139","https://cocktailflow.com/collection/color-blue","Blue LagoonVodkaTropicalMedium","https://cocktailflow.com/cocktail/blue-lagoon","garnish with cocktail cherry , orange wedge"
"1681399228-140","https://cocktailflow.com/collection/color-blue","Blue KamikazeVodkaLongdrinkMedium","https://cocktailflow.com/cocktail/blue-kamikaze","Ingredients"
"1681399228-141","https://cocktailflow.com/collection/color-blue","Blue KamikazeVodkaLongdrinkMedium","https://cocktailflow.com/cocktail/blue-kamikaze","1½ parts vodka"
"1681399228-142","https://cocktailflow.com/collection/color-blue","Blue KamikazeVodkaLongdrinkMedium","https://cocktailflow.com/cocktail/blue-kamikaze","1½ parts Blue Curacao"
"1681399228-143","https://cocktailflow.com/collection/color-blue","Blue KamikazeVodkaLongdrinkMedium","https://cocktailflow.com/cocktail/blue-kamikaze","1½ parts lime juice"
"1681399228-144","https://cocktailflow.com/collection/color-blue","Blue KamikazeVodkaLongdrinkMedium","https://cocktailflow.com/cocktail/blue-kamikaze","ice cubes"
"1681399228-145","https://cocktailflow.com/collection/color-blue","Blue KamikazeVodkaLongdrinkMedium","https://cocktailflow.com/cocktail/blue-kamikaze","How to Mix"
"1681399228-146","https://cocktailflow.com/collection/color-blue","Blue KamikazeVodkaLongdrinkMedium","https://cocktailflow.com/cocktail/blue-kamikaze","fill up the shaker with ice"
"1681399228-147","https://cocktailflow.com/collection/color-blue","Blue KamikazeVodkaLongdrinkMedium","https://cocktailflow.com/cocktail/blue-kamikaze","pour vodka,lime juice,Blue Curacao into the shaker"
"1681399228-148","https://cocktailflow.com/collection/color-blue","Blue KamikazeVodkaLongdrinkMedium","https://cocktailflow.com/cocktail/blue-kamikaze","shake well"
"1681399228-149","https://cocktailflow.com/collection/color-blue","Blue KamikazeVodkaLongdrinkMedium","https://cocktailflow.com/cocktail/blue-kamikaze","strain into the collins glass"
"1681399230-150","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","Ingredients"
"1681399230-151","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","½ parts vodka"
"1681399230-152","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","½ parts white rum"
"1681399230-153","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","½ parts tequila"
"1681399230-154","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","½ parts gin"
"1681399230-155","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","½ parts Blue Curacao"
"1681399230-156","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","2 parts 7up"
"1681399230-157","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","2 parts sweet & sour mix"
"1681399230-158","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","ice cubes"
"1681399230-159","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","How to Mix"
"1681399230-160","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","fill up the glass with ice cubes"
"1681399230-161","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","fill up the shaker with ice cubes"
"1681399230-162","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","pour lemon juice,sugar syrup,Blue Curacao,gin,tequila,white rum,vodka into the shaker"
"1681399230-163","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","shake well"
"1681399230-164","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","strain into the collins glass"
"1681399230-165","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","fill up the glass with club soda"
"1681399230-166","https://cocktailflow.com/collection/color-blue","AmfVodkaLongdrinkLight","https://cocktailflow.com/cocktail/amf","garnish with cocktail cherry , lemon wheel"
"1681399232-167","https://cocktailflow.com/collection/color-blue","Blue Long IslandRumLongdrinkMedium","https://cocktailflow.com/cocktail/blue-long-island","Ingredients"
"1681399232-168","https://cocktailflow.com/collection/color-blue","Blue Long IslandRumLongdrinkMedium","https://cocktailflow.com/cocktail/blue-long-island","1½ parts vodka"
"1681399232-169","https://cocktailflow.com/collection/color-blue","Blue Long IslandRumLongdrinkMedium","https://cocktailflow.com/cocktail/blue-long-island","1½ parts gin"
"1681399232-170","https://cocktailflow.com/collection/color-blue","Blue Long IslandRumLongdrinkMedium","https://cocktailflow.com/cocktail/blue-long-island","1½ parts white rum"
