web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681399330-273","https://cocktailflow.com/collection/color-brown","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","Ingredients"
"1681399330-274","https://cocktailflow.com/collection/color-brown","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","2 parts whiskey"
"1681399330-275","https://cocktailflow.com/collection/color-brown","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","½ parts sugar syrup"
"1681399330-276","https://cocktailflow.com/collection/color-brown","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","1 part lemon juice"
"1681399330-277","https://cocktailflow.com/collection/color-brown","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","ice cubes"
"1681399330-278","https://cocktailflow.com/collection/color-brown","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","How to Mix"
"1681399330-279","https://cocktailflow.com/collection/color-brown","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","fill up the shaker with ice"
"1681399330-280","https://cocktailflow.com/collection/color-brown","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","pour lemon juice,sugar syrup,Bourbon into the shaker"
"1681399330-281","https://cocktailflow.com/collection/color-brown","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","shake well"
"1681399330-282","https://cocktailflow.com/collection/color-brown","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","strain into the sour glass"
"1681399343-283","https://cocktailflow.com/collection/color-brown","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","Ingredients"
"1681399343-284","https://cocktailflow.com/collection/color-brown","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","¾ parts lime juice"
"1681399343-285","https://cocktailflow.com/collection/color-brown","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","3 parts Scotch"
"1681399343-286","https://cocktailflow.com/collection/color-brown","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","6 parts ginger beer"
"1681399343-287","https://cocktailflow.com/collection/color-brown","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","ice"
"1681399343-288","https://cocktailflow.com/collection/color-brown","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","How to Mix"
"1681399343-289","https://cocktailflow.com/collection/color-brown","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","add lime juice,Scotch to the sour glass"
"1681399343-290","https://cocktailflow.com/collection/color-brown","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","pour ginger beer into the glass"
"1681399343-291","https://cocktailflow.com/collection/color-brown","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","garnish with lime wedge"
"1681399345-292","https://cocktailflow.com/collection/color-brown","Washington AppleWhiskeyShooterMedium","https://cocktailflow.com/cocktail/washington-apple","Ingredients"
"1681399345-293","https://cocktailflow.com/collection/color-brown","Washington AppleWhiskeyShooterMedium","https://cocktailflow.com/cocktail/washington-apple","½ parts canadian whisky"
"1681399345-294","https://cocktailflow.com/collection/color-brown","Washington AppleWhiskeyShooterMedium","https://cocktailflow.com/cocktail/washington-apple","½ parts apple schnapps"
"1681399345-295","https://cocktailflow.com/collection/color-brown","Washington AppleWhiskeyShooterMedium","https://cocktailflow.com/cocktail/washington-apple","½ parts cranberry juice"
"1681399345-296","https://cocktailflow.com/collection/color-brown","Washington AppleWhiskeyShooterMedium","https://cocktailflow.com/cocktail/washington-apple","How to Mix"
"1681399345-297","https://cocktailflow.com/collection/color-brown","Washington AppleWhiskeyShooterMedium","https://cocktailflow.com/cocktail/washington-apple","fill up the shaker with ice"
"1681399345-298","https://cocktailflow.com/collection/color-brown","Washington AppleWhiskeyShooterMedium","https://cocktailflow.com/cocktail/washington-apple","pour cranberry juice,apple schnapps,canadian whisky into the shaker"
"1681399345-299","https://cocktailflow.com/collection/color-brown","Washington AppleWhiskeyShooterMedium","https://cocktailflow.com/cocktail/washington-apple","shake well"
"1681399345-300","https://cocktailflow.com/collection/color-brown","Washington AppleWhiskeyShooterMedium","https://cocktailflow.com/cocktail/washington-apple","strain into the shot glass"
"1681399348-301","https://cocktailflow.com/collection/color-brown","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","Ingredients"
"1681399348-302","https://cocktailflow.com/collection/color-brown","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","½ parts Scotch"
"1681399348-303","https://cocktailflow.com/collection/color-brown","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","½ parts whiskey"
"1681399348-304","https://cocktailflow.com/collection/color-brown","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","½ parts irish whiskey"
"1681399348-305","https://cocktailflow.com/collection/color-brown","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","How to Mix"
"1681399348-306","https://cocktailflow.com/collection/color-brown","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","pour irish whiskey,Bourbon,Scotch into the shot glass"
"1681399350-307","https://cocktailflow.com/collection/color-brown","Nuts and BerriesVodkaShooterMedium","https://cocktailflow.com/cocktail/nuts-and-berries","Ingredients"
"1681399350-308","https://cocktailflow.com/collection/color-brown","Nuts and BerriesVodkaShooterMedium","https://cocktailflow.com/cocktail/nuts-and-berries","1 part citrus vodka"
"1681399350-309","https://cocktailflow.com/collection/color-brown","Nuts and BerriesVodkaShooterMedium","https://cocktailflow.com/cocktail/nuts-and-berries","½ parts hazelnut liqueur"
"1681399350-310","https://cocktailflow.com/collection/color-brown","Nuts and BerriesVodkaShooterMedium","https://cocktailflow.com/cocktail/nuts-and-berries","1 part cranberry juice"
"1681399350-311","https://cocktailflow.com/collection/color-brown","Nuts and BerriesVodkaShooterMedium","https://cocktailflow.com/cocktail/nuts-and-berries","How to Mix"
"1681399350-312","https://cocktailflow.com/collection/color-brown","Nuts and BerriesVodkaShooterMedium","https://cocktailflow.com/cocktail/nuts-and-berries","fill up the shaker with ice"
"1681399350-313","https://cocktailflow.com/collection/color-brown","Nuts and BerriesVodkaShooterMedium","https://cocktailflow.com/cocktail/nuts-and-berries","pour cranberry juice,hazelnut liqueur,citrus vodka into the shaker"
"1681399350-314","https://cocktailflow.com/collection/color-brown","Nuts and BerriesVodkaShooterMedium","https://cocktailflow.com/cocktail/nuts-and-berries","shake well"
"1681399350-315","https://cocktailflow.com/collection/color-brown","Nuts and BerriesVodkaShooterMedium","https://cocktailflow.com/cocktail/nuts-and-berries","strain into the shot glass"
"1681399352-316","https://cocktailflow.com/collection/color-brown","Chocolate CakeVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/chocolate-cake","Ingredients"
"1681399352-317","https://cocktailflow.com/collection/color-brown","Chocolate CakeVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/chocolate-cake","1½ parts vodka"
"1681399352-318","https://cocktailflow.com/collection/color-brown","Chocolate CakeVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/chocolate-cake","1 part hazelnut liqueur"
"1681399352-319","https://cocktailflow.com/collection/color-brown","Chocolate CakeVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/chocolate-cake","How to Mix"
"1681399352-320","https://cocktailflow.com/collection/color-brown","Chocolate CakeVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/chocolate-cake","pour hazelnut liqueur,vodka into the shot glass"
