web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681171955-13427","https://cocktailflow.com/collection/in-the-club","B54LiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/b54","Ingredients"
"1681171955-13428","https://cocktailflow.com/collection/in-the-club","B54LiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/b54","1 part coffee liqueur"
"1681171955-13429","https://cocktailflow.com/collection/in-the-club","B54LiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/b54","1 part irish cream"
"1681171955-13430","https://cocktailflow.com/collection/in-the-club","B54LiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/b54","1 part Amaretto"
"1681171955-13431","https://cocktailflow.com/collection/in-the-club","B54LiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/b54","How to Mix"
"1681171955-13432","https://cocktailflow.com/collection/in-the-club","B54LiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/b54","pour coffee liqueur into the shot glass"
"1681171955-13433","https://cocktailflow.com/collection/in-the-club","B54LiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/b54","gently layer the Amaretto"
"1681171955-13434","https://cocktailflow.com/collection/in-the-club","B54LiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/b54","gently layer the irish cream"
"1681171955-13435","https://cocktailflow.com/collection/in-the-club","B54LiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/b54","use the back of a teaspoon to separate layers when pouring"
"1681171958-13436","https://cocktailflow.com/collection/in-the-club","Cherry CaipirinhaCachacaShortStrong","https://cocktailflow.com/cocktail/cherry-caipirinha","Ingredients"
"1681171958-13437","https://cocktailflow.com/collection/in-the-club","Cherry CaipirinhaCachacaShortStrong","https://cocktailflow.com/cocktail/cherry-caipirinha","5 parts Cachaca"
"1681171958-13438","https://cocktailflow.com/collection/in-the-club","Cherry CaipirinhaCachacaShortStrong","https://cocktailflow.com/cocktail/cherry-caipirinha","2 parts sugar syrup"
"1681171958-13439","https://cocktailflow.com/collection/in-the-club","Cherry CaipirinhaCachacaShortStrong","https://cocktailflow.com/cocktail/cherry-caipirinha","1½  lemon"
"1681171958-13440","https://cocktailflow.com/collection/in-the-club","Cherry CaipirinhaCachacaShortStrong","https://cocktailflow.com/cocktail/cherry-caipirinha","5  cherry"
"1681171958-13441","https://cocktailflow.com/collection/in-the-club","Cherry CaipirinhaCachacaShortStrong","https://cocktailflow.com/cocktail/cherry-caipirinha","ice"
"1681171958-13442","https://cocktailflow.com/collection/in-the-club","Cherry CaipirinhaCachacaShortStrong","https://cocktailflow.com/cocktail/cherry-caipirinha","How to Mix"
"1681171958-13443","https://cocktailflow.com/collection/in-the-club","Cherry CaipirinhaCachacaShortStrong","https://cocktailflow.com/cocktail/cherry-caipirinha","add sugar syrup,lemon,cherry to the shaker"
"1681171958-13444","https://cocktailflow.com/collection/in-the-club","Cherry CaipirinhaCachacaShortStrong","https://cocktailflow.com/cocktail/cherry-caipirinha","crush sugar syrup,lemon,cherry with muddler"
"1681171958-13445","https://cocktailflow.com/collection/in-the-club","Cherry CaipirinhaCachacaShortStrong","https://cocktailflow.com/cocktail/cherry-caipirinha","fill up the old fashioned glass with ice"
