web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681171301-12280","https://cocktailflow.com/collection/colleagues","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","Ingredients"
"1681171301-12281","https://cocktailflow.com/collection/colleagues","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","1 part tequila"
"1681171301-12282","https://cocktailflow.com/collection/colleagues","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","1 part ginger ale"
"1681171301-12283","https://cocktailflow.com/collection/colleagues","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","How to Mix"
"1681171301-12284","https://cocktailflow.com/collection/colleagues","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","pour ginger ale,tequila into the shot glass"
"1681171301-12285","https://cocktailflow.com/collection/colleagues","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","cover the top of the shot glass with hand, hit it to the counter and drink at once while it's fizzing"
"1681171303-12286","https://cocktailflow.com/collection/colleagues","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","Ingredients"
"1681171303-12287","https://cocktailflow.com/collection/colleagues","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","1 part tequila"
"1681171303-12288","https://cocktailflow.com/collection/colleagues","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","½ parts Triple sec"
"1681171303-12289","https://cocktailflow.com/collection/colleagues","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","½ parts banana liqueur"
"1681171303-12290","https://cocktailflow.com/collection/colleagues","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","How to Mix"
"1681171303-12291","https://cocktailflow.com/collection/colleagues","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","pour tequila into the glass"
"1681171303-12292","https://cocktailflow.com/collection/colleagues","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","gently layer the banana liqueur"
"1681171303-12293","https://cocktailflow.com/collection/colleagues","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","gently layer the Triple sec"
"1681171303-12294","https://cocktailflow.com/collection/colleagues","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","use the back of a teaspoon to separate layers when pouring"
"1681171305-12295","https://cocktailflow.com/collection/colleagues","After FiveLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/after-five","Ingredients"
"1681171305-12296","https://cocktailflow.com/collection/colleagues","After FiveLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/after-five","½ parts coffee liqueur"
"1681171305-12297","https://cocktailflow.com/collection/colleagues","After FiveLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/after-five","½ parts irish cream"
"1681171305-12298","https://cocktailflow.com/collection/colleagues","After FiveLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/after-five","½ parts peppermint schnapps"
"1681171305-12299","https://cocktailflow.com/collection/colleagues","After FiveLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/after-five","How to Mix"
"1681171305-12300","https://cocktailflow.com/collection/colleagues","After FiveLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/after-five","pour coffee liqueur into the glass"
"1681171305-12301","https://cocktailflow.com/collection/colleagues","After FiveLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/after-five","gently layer the irish cream"
"1681171305-12302","https://cocktailflow.com/collection/colleagues","After FiveLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/after-five","gently layer the peppermint schnapps"
"1681171305-12303","https://cocktailflow.com/collection/colleagues","After FiveLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/after-five","use the back of a teaspoon to separate layers when pouring"
"1681171307-12304","https://cocktailflow.com/collection/colleagues","Tolstoy TangVodkaShortMedium","https://cocktailflow.com/cocktail/tolstoy-tang","Ingredients"
"1681171307-12305","https://cocktailflow.com/collection/colleagues","Tolstoy TangVodkaShortMedium","https://cocktailflow.com/cocktail/tolstoy-tang","3 parts vodka"
"1681171307-12306","https://cocktailflow.com/collection/colleagues","Tolstoy TangVodkaShortMedium","https://cocktailflow.com/cocktail/tolstoy-tang","1½ parts lemon juice"
"1681171307-12307","https://cocktailflow.com/collection/colleagues","Tolstoy TangVodkaShortMedium","https://cocktailflow.com/cocktail/tolstoy-tang","1 splash sugar syrup"
"1681171307-12308","https://cocktailflow.com/collection/colleagues","Tolstoy TangVodkaShortMedium","https://cocktailflow.com/cocktail/tolstoy-tang","ice"
"1681171307-12309","https://cocktailflow.com/collection/colleagues","Tolstoy TangVodkaShortMedium","https://cocktailflow.com/cocktail/tolstoy-tang","How to Mix"
"1681171307-12310","https://cocktailflow.com/collection/colleagues","Tolstoy TangVodkaShortMedium","https://cocktailflow.com/cocktail/tolstoy-tang","add ice cubes to the shaker"
"1681171307-12311","https://cocktailflow.com/collection/colleagues","Tolstoy TangVodkaShortMedium","https://cocktailflow.com/cocktail/tolstoy-tang","pour vodka,sugar syrup,lemon juice into the shaker"
"1681171307-12312","https://cocktailflow.com/collection/colleagues","Tolstoy TangVodkaShortMedium","https://cocktailflow.com/cocktail/tolstoy-tang","shake well"
"1681171307-12313","https://cocktailflow.com/collection/colleagues","Tolstoy TangVodkaShortMedium","https://cocktailflow.com/cocktail/tolstoy-tang","strain into the glass"
"1681171307-12314","https://cocktailflow.com/collection/colleagues","Tolstoy TangVodkaShortMedium","https://cocktailflow.com/cocktail/tolstoy-tang","garnish with lemon spiral"
"1681171310-12315","https://cocktailflow.com/collection/colleagues","MudslideVodkaCreamyStrong","https://cocktailflow.com/cocktail/mudslide","Ingredients"
"1681171310-12316","https://cocktailflow.com/collection/colleagues","MudslideVodkaCreamyStrong","https://cocktailflow.com/cocktail/mudslide","1½ parts vodka"
"1681171310-12317","https://cocktailflow.com/collection/colleagues","MudslideVodkaCreamyStrong","https://cocktailflow.com/cocktail/mudslide","1½ parts coffee liqueur"
"1681171310-12318","https://cocktailflow.com/collection/colleagues","MudslideVodkaCreamyStrong","https://cocktailflow.com/cocktail/mudslide","1½ parts irish cream"
"1681171310-12319","https://cocktailflow.com/collection/colleagues","MudslideVodkaCreamyStrong","https://cocktailflow.com/cocktail/mudslide","ice cubes"
"1681171310-12320","https://cocktailflow.com/collection/colleagues","MudslideVodkaCreamyStrong","https://cocktailflow.com/cocktail/mudslide","How to Mix"
"1681171310-12321","https://cocktailflow.com/collection/colleagues","MudslideVodkaCreamyStrong","https://cocktailflow.com/cocktail/mudslide","add ice cubes to the shaker"
"1681171310-12322","https://cocktailflow.com/collection/colleagues","MudslideVodkaCreamyStrong","https://cocktailflow.com/cocktail/mudslide","pour vodka,irish cream,coffee liqueur into the shaker"
"1681171310-12323","https://cocktailflow.com/collection/colleagues","MudslideVodkaCreamyStrong","https://cocktailflow.com/cocktail/mudslide","shake well"
"1681171310-12324","https://cocktailflow.com/collection/colleagues","MudslideVodkaCreamyStrong","https://cocktailflow.com/cocktail/mudslide","fill up the old fashioned glass with ice"
"1681171310-12325","https://cocktailflow.com/collection/colleagues","MudslideVodkaCreamyStrong","https://cocktailflow.com/cocktail/mudslide","strain into the glass"
"1681171312-12326","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","Ingredients"
"1681171312-12327","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","2 parts vodka"
"1681171312-12328","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","1 tsp lemon juice"
"1681171312-12329","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","5 parts grapefruit juice"
"1681171312-12330","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","1 pinch salt"
"1681171312-12331","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","ice cubes"
"1681171312-12332","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","How to Mix"
"1681171312-12333","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","fill up the old fashioned glass with ice"
"1681171312-12334","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","pour salt,grapefruit juice,lemon juice,vodka into the glass"
"1681171312-12335","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","stir together"
"1681171312-12336","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","garnish with lime wedge"
"1681171312-12337","https://cocktailflow.com/collection/colleagues","Salty DogVodkaClassicLongdrinkLight","https://cocktailflow.com/cocktail/salty-dog","create a salty rim on the glass for stronger taste"
"1681171314-12338","https://cocktailflow.com/collection/colleagues","God FatherWhiskeyClassicShortExtreme Strong","https://cocktailflow.com/cocktail/god-father","Ingredients"
"1681171314-12339","https://cocktailflow.com/collection/colleagues","God FatherWhiskeyClassicShortExtreme Strong","https://cocktailflow.com/cocktail/god-father","1¾ parts Scotch"
"1681171314-12340","https://cocktailflow.com/collection/colleagues","God FatherWhiskeyClassicShortExtreme Strong","https://cocktailflow.com/cocktail/god-father","1¾ parts Amaretto"
"1681171314-12341","https://cocktailflow.com/collection/colleagues","God FatherWhiskeyClassicShortExtreme Strong","https://cocktailflow.com/cocktail/god-father","ice cubes"
