web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681148041-10244","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","Ingredients"
"1681148041-10245","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","1 part vodka"
"1681148041-10246","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","1 part irish cream"
"1681148041-10247","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","1 part Amaretto"
"1681148041-10248","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","2 parts half & half"
"1681148041-10249","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","crushed ice"
"1681148041-10250","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","How to Mix"
"1681148041-10251","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","fill up the glass with ice"
"1681148041-10252","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","fill up the shaker with ice"
"1681148041-10253","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","pour half & half,Amaretto,irish cream,vodka into the shaker"
"1681148041-10254","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","shake well"
"1681148041-10255","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","strain into the sour glass"
"1681148041-10256","https://cocktailflow.com/collection/type-creamy","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","garnish with whipped cream"
"1681148044-10257","https://cocktailflow.com/collection/type-creamy","Snow CapWhiskeyCreamyMedium","https://cocktailflow.com/cocktail/snow-cap","Ingredients"
"1681148044-10258","https://cocktailflow.com/collection/type-creamy","Snow CapWhiskeyCreamyMedium","https://cocktailflow.com/cocktail/snow-cap","3 parts half & half"
"1681148044-10259","https://cocktailflow.com/collection/type-creamy","Snow CapWhiskeyCreamyMedium","https://cocktailflow.com/cocktail/snow-cap","2 parts whiskey"
"1681148044-10260","https://cocktailflow.com/collection/type-creamy","Snow CapWhiskeyCreamyMedium","https://cocktailflow.com/cocktail/snow-cap","1½ parts Triple sec"
"1681148044-10261","https://cocktailflow.com/collection/type-creamy","Snow CapWhiskeyCreamyMedium","https://cocktailflow.com/cocktail/snow-cap","1½ parts sugar syrup"
"1681148044-10262","https://cocktailflow.com/collection/type-creamy","Snow CapWhiskeyCreamyMedium","https://cocktailflow.com/cocktail/snow-cap","ice cubes"
"1681148044-10263","https://cocktailflow.com/collection/type-creamy","Snow CapWhiskeyCreamyMedium","https://cocktailflow.com/cocktail/snow-cap","How to Mix"
"1681148044-10264","https://cocktailflow.com/collection/type-creamy","Snow CapWhiskeyCreamyMedium","https://cocktailflow.com/cocktail/snow-cap","fill up the shaker with ice"
"1681148044-10265","https://cocktailflow.com/collection/type-creamy","Snow CapWhiskeyCreamyMedium","https://cocktailflow.com/cocktail/snow-cap","pour sugar syrup,Triple sec,Bourbon,half & half into the shaker"
"1681148044-10266","https://cocktailflow.com/collection/type-creamy","Snow CapWhiskeyCreamyMedium","https://cocktailflow.com/cocktail/snow-cap","shake well"
"1681148044-10267","https://cocktailflow.com/collection/type-creamy","Snow CapWhiskeyCreamyMedium","https://cocktailflow.com/cocktail/snow-cap","strain into the snifter glass"
"1681148046-10268","https://cocktailflow.com/collection/type-creamy","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","Ingredients"
"1681148046-10269","https://cocktailflow.com/collection/type-creamy","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","1 part vodka"
"1681148046-10270","https://cocktailflow.com/collection/type-creamy","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","1 part apple juice"
"1681148046-10271","https://cocktailflow.com/collection/type-creamy","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","1  whipped cream"
"1681148046-10272","https://cocktailflow.com/collection/type-creamy","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","How to Mix"
"1681148046-10273","https://cocktailflow.com/collection/type-creamy","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","pour apple juice,vodka into the shot glass"
"1681148046-10274","https://cocktailflow.com/collection/type-creamy","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","garnish with whipped cream"
"1681148048-10275","https://cocktailflow.com/collection/type-creamy","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","Ingredients"
"1681148048-10276","https://cocktailflow.com/collection/type-creamy","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","1 part irish cream"
"1681148048-10277","https://cocktailflow.com/collection/type-creamy","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","½ parts lime juice"
"1681148048-10278","https://cocktailflow.com/collection/type-creamy","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","How to Mix"
"1681148048-10279","https://cocktailflow.com/collection/type-creamy","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","pour irish cream into the shot glass"
"1681148048-10280","https://cocktailflow.com/collection/type-creamy","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","gently layer the lime juice"
