web-scraper-order,web-scraper-start-url,drink-name,drink-name-href,drink-info
"1680204071-6616","https://cocktailflow.com/collection/strength-extremestrong","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","Ingredients"
"1680204071-6617","https://cocktailflow.com/collection/strength-extremestrong","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","1½ parts canadian whisky"
"1680204071-6618","https://cocktailflow.com/collection/strength-extremestrong","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","½ parts Amaretto"
"1680204071-6619","https://cocktailflow.com/collection/strength-extremestrong","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","How to Mix"
"1680204071-6620","https://cocktailflow.com/collection/strength-extremestrong","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","pour Amaretto,canadian whisky into the shot glass"
"1680204073-6621","https://cocktailflow.com/collection/strength-extremestrong","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","Ingredients"
"1680204073-6622","https://cocktailflow.com/collection/strength-extremestrong","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","1 part tequila"
"1680204073-6623","https://cocktailflow.com/collection/strength-extremestrong","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","½ parts Triple sec"
"1680204073-6624","https://cocktailflow.com/collection/strength-extremestrong","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","½ parts banana liqueur"
"1680204073-6625","https://cocktailflow.com/collection/strength-extremestrong","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","How to Mix"
"1680204073-6626","https://cocktailflow.com/collection/strength-extremestrong","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","pour tequila into the glass"
"1680204073-6627","https://cocktailflow.com/collection/strength-extremestrong","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","gently layer the banana liqueur"
"1680204073-6628","https://cocktailflow.com/collection/strength-extremestrong","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","gently layer the Triple sec"
"1680204073-6629","https://cocktailflow.com/collection/strength-extremestrong","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","use the back of a teaspoon to separate layers when pouring"
"1680204075-6630","https://cocktailflow.com/collection/strength-extremestrong","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","Ingredients"
"1680204075-6631","https://cocktailflow.com/collection/strength-extremestrong","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","1 part vodka"
"1680204075-6632","https://cocktailflow.com/collection/strength-extremestrong","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","1 piece cherry"
"1680204075-6633","https://cocktailflow.com/collection/strength-extremestrong","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","How to Mix"
"1680204075-6634","https://cocktailflow.com/collection/strength-extremestrong","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","pour vodka into the shot glass"
"1680204075-6635","https://cocktailflow.com/collection/strength-extremestrong","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","garnish with cocktail cherry"
"1680204077-6636","https://cocktailflow.com/collection/strength-extremestrong","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","Ingredients"
"1680204077-6637","https://cocktailflow.com/collection/strength-extremestrong","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","½ parts Scotch"
"1680204077-6638","https://cocktailflow.com/collection/strength-extremestrong","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","½ parts whiskey"
"1680204077-6639","https://cocktailflow.com/collection/strength-extremestrong","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","½ parts irish whiskey"
"1680204077-6640","https://cocktailflow.com/collection/strength-extremestrong","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","How to Mix"
"1680204077-6641","https://cocktailflow.com/collection/strength-extremestrong","Three Wise MenWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/three-wise-men","pour irish whiskey,Bourbon,Scotch into the shot glass"
"1680204079-6642","https://cocktailflow.com/collection/strength-extremestrong","Chocolate CakeVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/chocolate-cake","Ingredients"
"1680204079-6643","https://cocktailflow.com/collection/strength-extremestrong","Chocolate CakeVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/chocolate-cake","1½ parts vodka"
"1680204079-6644","https://cocktailflow.com/collection/strength-extremestrong","Chocolate CakeVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/chocolate-cake","1 part hazelnut liqueur"
"1680204079-6645","https://cocktailflow.com/collection/strength-extremestrong","Chocolate CakeVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/chocolate-cake","How to Mix"
"1680204079-6646","https://cocktailflow.com/collection/strength-extremestrong","Chocolate CakeVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/chocolate-cake","pour hazelnut liqueur,vodka into the shot glass"
"1680204079-6647","https://cocktailflow.com/collection/strength-extremestrong","Chocolate CakeVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/chocolate-cake","garnish with sugar coated lemon"
"1680204082-6648","https://cocktailflow.com/collection/strength-extremestrong","CardinaleGinClassicShortExtreme Strong","https://cocktailflow.com/cocktail/cardinale","Ingredients"
"1680204082-6649","https://cocktailflow.com/collection/strength-extremestrong","CardinaleGinClassicShortExtreme Strong","https://cocktailflow.com/cocktail/cardinale","3 parts gin"
"1680204082-6650","https://cocktailflow.com/collection/strength-extremestrong","CardinaleGinClassicShortExtreme Strong","https://cocktailflow.com/cocktail/cardinale","¾ parts dry vermouth"
"1680204082-6651","https://cocktailflow.com/collection/strength-extremestrong","CardinaleGinClassicShortExtreme Strong","https://cocktailflow.com/cocktail/cardinale","¾ parts campari"
"1680204082-6652","https://cocktailflow.com/collection/strength-extremestrong","CardinaleGinClassicShortExtreme Strong","https://cocktailflow.com/cocktail/cardinale","ice"
"1680204082-6653","https://cocktailflow.com/collection/strength-extremestrong","CardinaleGinClassicShortExtreme Strong","https://cocktailflow.com/cocktail/cardinale","How to Mix"
"1680204082-6654","https://cocktailflow.com/collection/strength-extremestrong","CardinaleGinClassicShortExtreme Strong","https://cocktailflow.com/cocktail/cardinale","fill up the old fashioned glass with ice"
"1680204082-6655","https://cocktailflow.com/collection/strength-extremestrong","CardinaleGinClassicShortExtreme Strong","https://cocktailflow.com/cocktail/cardinale","pour gin,dry vermouth,campari into the glass"
"1680204082-6656","https://cocktailflow.com/collection/strength-extremestrong","CardinaleGinClassicShortExtreme Strong","https://cocktailflow.com/cocktail/cardinale","stir together"
"1680204084-6657","https://cocktailflow.com/collection/strength-extremestrong","ChicagoClassicShortExtreme Strong","https://cocktailflow.com/cocktail/chicago","Ingredients"
"1680204084-6658","https://cocktailflow.com/collection/strength-extremestrong","ChicagoClassicShortExtreme Strong","https://cocktailflow.com/cocktail/chicago","3 parts brandy"
"1680204084-6659","https://cocktailflow.com/collection/strength-extremestrong","ChicagoClassicShortExtreme Strong","https://cocktailflow.com/cocktail/chicago","1 dash Peychaud's Bitters"
"1680204084-6660","https://cocktailflow.com/collection/strength-extremestrong","ChicagoClassicShortExtreme Strong","https://cocktailflow.com/cocktail/chicago","¼ tsp Triple sec"
"1680204084-6661","https://cocktailflow.com/collection/strength-extremestrong","ChicagoClassicShortExtreme Strong","https://cocktailflow.com/cocktail/chicago","ice"
"1680204084-6662","https://cocktailflow.com/collection/strength-extremestrong","ChicagoClassicShortExtreme Strong","https://cocktailflow.com/cocktail/chicago","How to Mix"
"1680204084-6663","https://cocktailflow.com/collection/strength-extremestrong","ChicagoClassicShortExtreme Strong","https://cocktailflow.com/cocktail/chicago","garnish with sugar rim"
"1680204084-6664","https://cocktailflow.com/collection/strength-extremestrong","ChicagoClassicShortExtreme Strong","https://cocktailflow.com/cocktail/chicago","add ice cubes to the shaker"
"1680204084-6665","https://cocktailflow.com/collection/strength-extremestrong","ChicagoClassicShortExtreme Strong","https://cocktailflow.com/cocktail/chicago","add Peychaud's Bitters,brandy,Triple sec to the shaker"
"1680204084-6666","https://cocktailflow.com/collection/strength-extremestrong","ChicagoClassicShortExtreme Strong","https://cocktailflow.com/cocktail/chicago","shake well"
"1680204084-6667","https://cocktailflow.com/collection/strength-extremestrong","ChicagoClassicShortExtreme Strong","https://cocktailflow.com/cocktail/chicago","strain into the glass"
"1680204086-6668","https://cocktailflow.com/collection/strength-extremestrong","Sun CrushWhiskeyShortExtreme Strong","https://cocktailflow.com/cocktail/sun-crush","Ingredients"
"1680204086-6669","https://cocktailflow.com/collection/strength-extremestrong","Sun CrushWhiskeyShortExtreme Strong","https://cocktailflow.com/cocktail/sun-crush","3 parts whiskey"
"1680204086-6670","https://cocktailflow.com/collection/strength-extremestrong","Sun CrushWhiskeyShortExtreme Strong","https://cocktailflow.com/cocktail/sun-crush","2 pieces orange"
"1680204086-6671","https://cocktailflow.com/collection/strength-extremestrong","Sun CrushWhiskeyShortExtreme Strong","https://cocktailflow.com/cocktail/sun-crush","1 piece lemon"
"1680204086-6672","https://cocktailflow.com/collection/strength-extremestrong","Sun CrushWhiskeyShortExtreme Strong","https://cocktailflow.com/cocktail/sun-crush","2 tsp sugar"
"1680204086-6673","https://cocktailflow.com/collection/strength-extremestrong","Sun CrushWhiskeyShortExtreme Strong","https://cocktailflow.com/cocktail/sun-crush","ice"
