web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681171611-12832","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","Ingredients"
"1681171611-12833","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","1 part vodka"
"1681171611-12834","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","1 part irish cream"
"1681171611-12835","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","1 part Amaretto"
"1681171611-12836","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","2 parts half & half"
"1681171611-12837","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","crushed ice"
"1681171611-12838","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","How to Mix"
"1681171611-12839","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","fill up the glass with ice"
"1681171611-12840","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","fill up the shaker with ice"
"1681171611-12841","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","pour half & half,Amaretto,irish cream,vodka into the shaker"
"1681171611-12842","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","shake well"
"1681171611-12843","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","strain into the sour glass"
"1681171611-12844","https://cocktailflow.com/collection/girls-night-out","Screaming OrgasmLiqueurCreamyMedium","https://cocktailflow.com/cocktail/screaming-orgasm","garnish with whipped cream"
"1681171613-12845","https://cocktailflow.com/collection/girls-night-out","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","Ingredients"
"1681171613-12846","https://cocktailflow.com/collection/girls-night-out","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","1 dash angostura"
"1681171613-12847","https://cocktailflow.com/collection/girls-night-out","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","½ parts Cointreau"
"1681171613-12848","https://cocktailflow.com/collection/girls-night-out","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","¾ parts brandy"
"1681171613-12849","https://cocktailflow.com/collection/girls-night-out","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","3 parts champagne"
"1681171613-12850","https://cocktailflow.com/collection/girls-night-out","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","crushed ice"
"1681171613-12851","https://cocktailflow.com/collection/girls-night-out","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","How to Mix"
"1681171613-12852","https://cocktailflow.com/collection/girls-night-out","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","fill up the sour glass with crushed ice"
"1681171613-12853","https://cocktailflow.com/collection/girls-night-out","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","pour brandy,Cointreau,angostura into the glass"
"1681171613-12854","https://cocktailflow.com/collection/girls-night-out","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","fill up the glass with champagne"
"1681171615-12855","https://cocktailflow.com/collection/girls-night-out","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","Ingredients"
"1681171615-12856","https://cocktailflow.com/collection/girls-night-out","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","½ parts vodka"
"1681171615-12857","https://cocktailflow.com/collection/girls-night-out","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","½ parts lemon juice"
"1681171615-12858","https://cocktailflow.com/collection/girls-night-out","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","½ parts strawberry syrup"
"1681171615-12859","https://cocktailflow.com/collection/girls-night-out","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","ice"
"1681171615-12860","https://cocktailflow.com/collection/girls-night-out","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","How to Mix"
