web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681399686-1069","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","Ingredients"
"1681399686-1070","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","2 cups spinach"
"1681399686-1071","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","2 cups water"
"1681399686-1072","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","¼ cups coconut oil"
"1681399686-1073","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","2 cups pineapple"
"1681399686-1074","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","1 piece avocado"
"1681399686-1075","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","ice"
"1681399686-1076","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","How to Mix"
"1681399686-1077","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","add water,spinach,coconut oil to the blender"
"1681399686-1078","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","blend together"
"1681399686-1079","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","add pineapple,ice,avocado to the blender"
"1681399686-1080","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","blend together"
"1681399686-1081","https://cocktailflow.com/collection/color-green","Skin Cleanse SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/skin-cleanse","strain into the snifter glass"
"1681399689-1082","https://cocktailflow.com/collection/color-green","Kiwi Berry Punch Green SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/kiwi-berry-punch","Ingredients"
"1681399689-1083","https://cocktailflow.com/collection/color-green","Kiwi Berry Punch Green SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/kiwi-berry-punch","2 cups spinach"
"1681399689-1084","https://cocktailflow.com/collection/color-green","Kiwi Berry Punch Green SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/kiwi-berry-punch","2 cups water"
"1681399689-1085","https://cocktailflow.com/collection/color-green","Kiwi Berry Punch Green SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/kiwi-berry-punch","1 cup blueberry"
"1681399689-1086","https://cocktailflow.com/collection/color-green","Kiwi Berry Punch Green SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/kiwi-berry-punch","1 cup cranberry"
"1681399689-1087","https://cocktailflow.com/collection/color-green","Kiwi Berry Punch Green SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/kiwi-berry-punch","1 piece banana"
"1681399689-1088","https://cocktailflow.com/collection/color-green","Kiwi Berry Punch Green SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/kiwi-berry-punch","½ pieces avocado"
