web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681171716-13047","https://cocktailflow.com/collection/guys-night","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","Ingredients"
"1681171716-13048","https://cocktailflow.com/collection/guys-night","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","1 part white rum"
"1681171716-13049","https://cocktailflow.com/collection/guys-night","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","1 part Goldschläger"
"1681171716-13050","https://cocktailflow.com/collection/guys-night","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","1 dash tabasco sauce"
"1681171716-13051","https://cocktailflow.com/collection/guys-night","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","How to Mix"
"1681171716-13052","https://cocktailflow.com/collection/guys-night","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","fill up the shaker with ice"
"1681171716-13053","https://cocktailflow.com/collection/guys-night","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","pour Goldschläger,white rum into the shaker"
"1681171716-13054","https://cocktailflow.com/collection/guys-night","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","shake well"
"1681171716-13055","https://cocktailflow.com/collection/guys-night","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","strain into the shot glass"
"1681171716-13056","https://cocktailflow.com/collection/guys-night","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","add tabasco sauce drop by drop"
"1681171718-13057","https://cocktailflow.com/collection/guys-night","Purple HooterLiqueurShooterStrong","https://cocktailflow.com/cocktail/purple-hooter","Ingredients"
"1681171718-13058","https://cocktailflow.com/collection/guys-night","Purple HooterLiqueurShooterStrong","https://cocktailflow.com/cocktail/purple-hooter","1 part vodka"
"1681171718-13059","https://cocktailflow.com/collection/guys-night","Purple HooterLiqueurShooterStrong","https://cocktailflow.com/cocktail/purple-hooter","½ parts black raspberry liqueur"
"1681171718-13060","https://cocktailflow.com/collection/guys-night","Purple HooterLiqueurShooterStrong","https://cocktailflow.com/cocktail/purple-hooter","½ parts lime juice"
"1681171718-13061","https://cocktailflow.com/collection/guys-night","Purple HooterLiqueurShooterStrong","https://cocktailflow.com/cocktail/purple-hooter","How to Mix"
"1681171718-13062","https://cocktailflow.com/collection/guys-night","Purple HooterLiqueurShooterStrong","https://cocktailflow.com/cocktail/purple-hooter","fill up the shaker with ice"
"1681171718-13063","https://cocktailflow.com/collection/guys-night","Purple HooterLiqueurShooterStrong","https://cocktailflow.com/cocktail/purple-hooter","pour lime juice,black raspberry liqueur,vodka into the shaker"
"1681171718-13064","https://cocktailflow.com/collection/guys-night","Purple HooterLiqueurShooterStrong","https://cocktailflow.com/cocktail/purple-hooter","shake well"
"1681171718-13065","https://cocktailflow.com/collection/guys-night","Purple HooterLiqueurShooterStrong","https://cocktailflow.com/cocktail/purple-hooter","strain into the shot glass"
"1681171720-13066","https://cocktailflow.com/collection/guys-night","AnacondaWhiskeyShooterStrong","https://cocktailflow.com/cocktail/anaconda","Ingredients"
"1681171720-13067","https://cocktailflow.com/collection/guys-night","AnacondaWhiskeyShooterStrong","https://cocktailflow.com/cocktail/anaconda","1 part Bourbon"
"1681171720-13068","https://cocktailflow.com/collection/guys-night","AnacondaWhiskeyShooterStrong","https://cocktailflow.com/cocktail/anaconda","1 part white sambuca"
"1681171720-13069","https://cocktailflow.com/collection/guys-night","AnacondaWhiskeyShooterStrong","https://cocktailflow.com/cocktail/anaconda","ice cubes"
"1681171720-13070","https://cocktailflow.com/collection/guys-night","AnacondaWhiskeyShooterStrong","https://cocktailflow.com/cocktail/anaconda","How to Mix"
"1681171720-13071","https://cocktailflow.com/collection/guys-night","AnacondaWhiskeyShooterStrong","https://cocktailflow.com/cocktail/anaconda","fill up the shaker with ice"
"1681171720-13072","https://cocktailflow.com/collection/guys-night","AnacondaWhiskeyShooterStrong","https://cocktailflow.com/cocktail/anaconda","pour whiskey,white sambuca into the shaker"
"1681171720-13073","https://cocktailflow.com/collection/guys-night","AnacondaWhiskeyShooterStrong","https://cocktailflow.com/cocktail/anaconda","shake well"
"1681171720-13074","https://cocktailflow.com/collection/guys-night","AnacondaWhiskeyShooterStrong","https://cocktailflow.com/cocktail/anaconda","strain into the shot glass"
"1681171722-13075","https://cocktailflow.com/collection/guys-night","Liquid CocaineLiqueurShooterStrong","https://cocktailflow.com/cocktail/liquid-cocaine","Ingredients"
"1681171722-13076","https://cocktailflow.com/collection/guys-night","Liquid CocaineLiqueurShooterStrong","https://cocktailflow.com/cocktail/liquid-cocaine","½ parts jägermeister"
"1681171722-13077","https://cocktailflow.com/collection/guys-night","Liquid CocaineLiqueurShooterStrong","https://cocktailflow.com/cocktail/liquid-cocaine","½ parts Goldschläger"
"1681171722-13078","https://cocktailflow.com/collection/guys-night","Liquid CocaineLiqueurShooterStrong","https://cocktailflow.com/cocktail/liquid-cocaine","½ parts peppermint schnapps"
"1681171722-13079","https://cocktailflow.com/collection/guys-night","Liquid CocaineLiqueurShooterStrong","https://cocktailflow.com/cocktail/liquid-cocaine","How to Mix"
"1681171722-13080","https://cocktailflow.com/collection/guys-night","Liquid CocaineLiqueurShooterStrong","https://cocktailflow.com/cocktail/liquid-cocaine","fill up the shaker with ice"
"1681171722-13081","https://cocktailflow.com/collection/guys-night","Liquid CocaineLiqueurShooterStrong","https://cocktailflow.com/cocktail/liquid-cocaine","pour peppermint schnapps,Goldschläger,jägermeister into the shaker"
"1681171722-13082","https://cocktailflow.com/collection/guys-night","Liquid CocaineLiqueurShooterStrong","https://cocktailflow.com/cocktail/liquid-cocaine","shake well"
"1681171722-13083","https://cocktailflow.com/collection/guys-night","Liquid CocaineLiqueurShooterStrong","https://cocktailflow.com/cocktail/liquid-cocaine","strain into the shot glass"
"1681171725-13084","https://cocktailflow.com/collection/guys-night","Washington AppleWhiskeyShooterMedium","https://cocktailflow.com/cocktail/washington-apple","Ingredients"
