web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681142686-2377","https://cocktailflow.com/collection/type-hotdrink","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","Ingredients"
"1681142686-2378","https://cocktailflow.com/collection/type-hotdrink","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","2 parts whiskey"
"1681142686-2379","https://cocktailflow.com/collection/type-hotdrink","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","½ parts lemon juice"
"1681142686-2380","https://cocktailflow.com/collection/type-hotdrink","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","½ parts grenadine"
"1681142686-2381","https://cocktailflow.com/collection/type-hotdrink","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","4 parts hot water"
"1681142686-2382","https://cocktailflow.com/collection/type-hotdrink","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","How to Mix"
"1681142686-2383","https://cocktailflow.com/collection/type-hotdrink","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","pour hot water,grenadine,lemon juice,Bourbon into the irish coffee glass"
"1681142686-2384","https://cocktailflow.com/collection/type-hotdrink","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","fill up the glass with hot water"
"1681142686-2385","https://cocktailflow.com/collection/type-hotdrink","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","stir together"
"1681142686-2386","https://cocktailflow.com/collection/type-hotdrink","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","garnish with cinnamon stick"
"1681142689-2387","https://cocktailflow.com/collection/type-hotdrink","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","Ingredients"
"1681142689-2388","https://cocktailflow.com/collection/type-hotdrink","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","2 parts irish whiskey"
"1681142689-2389","https://cocktailflow.com/collection/type-hotdrink","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","1 tsp brown sugar"
"1681142689-2390","https://cocktailflow.com/collection/type-hotdrink","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","4½ parts coffee"
"1681142689-2391","https://cocktailflow.com/collection/type-hotdrink","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","1½ parts cream"
