web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681171844-13299","https://cocktailflow.com/collection/house-party","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","Ingredients"
"1681171844-13300","https://cocktailflow.com/collection/house-party","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","1 part tequila"
"1681171844-13301","https://cocktailflow.com/collection/house-party","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","1 part ginger ale"
"1681171844-13302","https://cocktailflow.com/collection/house-party","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","How to Mix"
"1681171844-13303","https://cocktailflow.com/collection/house-party","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","pour ginger ale,tequila into the shot glass"
"1681171844-13304","https://cocktailflow.com/collection/house-party","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","cover the top of the shot glass with hand, hit it to the counter and drink at once while it's fizzing"
"1681171846-13305","https://cocktailflow.com/collection/house-party","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","Ingredients"
"1681171846-13306","https://cocktailflow.com/collection/house-party","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","1 part vodka"
"1681171846-13307","https://cocktailflow.com/collection/house-party","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","1 piece cherry"
"1681171846-13308","https://cocktailflow.com/collection/house-party","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","How to Mix"
"1681171846-13309","https://cocktailflow.com/collection/house-party","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","pour vodka into the shot glass"
"1681171846-13310","https://cocktailflow.com/collection/house-party","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","garnish with cocktail cherry"
"1681171849-13311","https://cocktailflow.com/collection/house-party","Sparkling Cranberry Elderflower CocktailLiqueurLongdrinkMedium","https://cocktailflow.com/cocktail/sparkling-cranberry-elderflower","Ingredients"
"1681171849-13312","https://cocktailflow.com/collection/house-party","Sparkling Cranberry Elderflower CocktailLiqueurLongdrinkMedium","https://cocktailflow.com/cocktail/sparkling-cranberry-elderflower","2 parts vodka"
"1681171849-13313","https://cocktailflow.com/collection/house-party","Sparkling Cranberry Elderflower CocktailLiqueurLongdrinkMedium","https://cocktailflow.com/cocktail/sparkling-cranberry-elderflower","1 part Elderflower liqueur"
"1681171849-13314","https://cocktailflow.com/collection/house-party","Sparkling Cranberry Elderflower CocktailLiqueurLongdrinkMedium","https://cocktailflow.com/cocktail/sparkling-cranberry-elderflower","3 parts cranberry juice"
"1681171849-13315","https://cocktailflow.com/collection/house-party","Sparkling Cranberry Elderflower CocktailLiqueurLongdrinkMedium","https://cocktailflow.com/cocktail/sparkling-cranberry-elderflower","2 parts club soda"
"1681171849-13316","https://cocktailflow.com/collection/house-party","Sparkling Cranberry Elderflower CocktailLiqueurLongdrinkMedium","https://cocktailflow.com/cocktail/sparkling-cranberry-elderflower","ice"
"1681171849-13317","https://cocktailflow.com/collection/house-party","Sparkling Cranberry Elderflower CocktailLiqueurLongdrinkMedium","https://cocktailflow.com/cocktail/sparkling-cranberry-elderflower","How to Mix"
"1681171849-13318","https://cocktailflow.com/collection/house-party","Sparkling Cranberry Elderflower CocktailLiqueurLongdrinkMedium","https://cocktailflow.com/cocktail/sparkling-cranberry-elderflower","add ice to the old fashioned glass"
"1681171849-13319","https://cocktailflow.com/collection/house-party","Sparkling Cranberry Elderflower CocktailLiqueurLongdrinkMedium","https://cocktailflow.com/cocktail/sparkling-cranberry-elderflower","fill up the glass with vodka,cranberry juice,club soda,Elderflower liqueur"
"1681171851-13320","https://cocktailflow.com/collection/house-party","ScrewdriverVodkaLongdrinkClassicLight","https://cocktailflow.com/cocktail/screwdriver","Ingredients"
"1681171851-13321","https://cocktailflow.com/collection/house-party","ScrewdriverVodkaLongdrinkClassicLight","https://cocktailflow.com/cocktail/screwdriver","2½ parts vodka"
"1681171851-13322","https://cocktailflow.com/collection/house-party","ScrewdriverVodkaLongdrinkClassicLight","https://cocktailflow.com/cocktail/screwdriver","5 parts orange juice"
"1681171851-13323","https://cocktailflow.com/collection/house-party","ScrewdriverVodkaLongdrinkClassicLight","https://cocktailflow.com/cocktail/screwdriver","ice cubes"
"1681171851-13324","https://cocktailflow.com/collection/house-party","ScrewdriverVodkaLongdrinkClassicLight","https://cocktailflow.com/cocktail/screwdriver","How to Mix"
"1681171851-13325","https://cocktailflow.com/collection/house-party","ScrewdriverVodkaLongdrinkClassicLight","https://cocktailflow.com/cocktail/screwdriver","fill up the collins glass with ice cubes"
"1681171851-13326","https://cocktailflow.com/collection/house-party","ScrewdriverVodkaLongdrinkClassicLight","https://cocktailflow.com/cocktail/screwdriver","add vodka to the glass"
"1681171851-13327","https://cocktailflow.com/collection/house-party","ScrewdriverVodkaLongdrinkClassicLight","https://cocktailflow.com/cocktail/screwdriver","fill up the glass with orange juice"
"1681171851-13328","https://cocktailflow.com/collection/house-party","ScrewdriverVodkaLongdrinkClassicLight","https://cocktailflow.com/cocktail/screwdriver","stir together"
"1681171851-13329","https://cocktailflow.com/collection/house-party","ScrewdriverVodkaLongdrinkClassicLight","https://cocktailflow.com/cocktail/screwdriver","garnish with orange wedge"
"1681171853-13330","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","Ingredients"
"1681171853-13331","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","2 parts white rum"
"1681171853-13332","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","2 tsp sugar syrup"
"1681171853-13333","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","1½ parts lime juice"
"1681171853-13334","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","3 parts club soda"
"1681171853-13335","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","6 pieces mint leaves"
"1681171853-13336","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","crushed ice"
"1681171853-13337","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","How to Mix"
"1681171853-13338","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","add sugar,mint leaves to the collins glass"
"1681171853-13339","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","pour lime juice into the glass"
"1681171853-13340","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","crush lime juice,sugar,mint leaves with muddler"
"1681171853-13341","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","fill up the glass with crushed ice"
"1681171853-13342","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","pour white rum into the glass"
"1681171853-13343","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","fill up the with glass ,club soda"
"1681171853-13344","https://cocktailflow.com/collection/house-party","MojitoRumClassicLongdrinkLight","https://cocktailflow.com/cocktail/mojito","garnish with mint leaves , lime wedges"
"1681171855-13345","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","Ingredients"
"1681171855-13346","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","1½ parts Midori"
"1681171855-13347","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","2 parts red wine"
"1681171855-13348","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","2 parts lemon juice"
"1681171855-13349","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","1 cup apple"
"1681171855-13350","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","1 cup pear"
"1681171855-13351","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","1 part Sprite"
"1681171855-13352","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","ice"
"1681171855-13353","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","How to Mix"
"1681171855-13354","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","fill up the sour glass with ice"
"1681171855-13355","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","pour red wine,lemon juice,Midori into the glass"
"1681171855-13356","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","stir together"
"1681171855-13357","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","add pear,apple to the glass"
"1681171855-13358","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","fill up the glass with Sprite"
"1681171855-13359","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","stir together"
"1681171855-13360","https://cocktailflow.com/collection/house-party","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","garnish with orange wheel"
"1681171858-13361","https://cocktailflow.com/collection/house-party","Pink RumRumLongdrinkMedium","https://cocktailflow.com/cocktail/pink-rum","Ingredients"
"1681171858-13362","https://cocktailflow.com/collection/house-party","Pink RumRumLongdrinkMedium","https://cocktailflow.com/cocktail/pink-rum","2 parts white rum"
"1681171858-13363","https://cocktailflow.com/collection/house-party","Pink RumRumLongdrinkMedium","https://cocktailflow.com/cocktail/pink-rum","1 dash angostura"
"1681171858-13364","https://cocktailflow.com/collection/house-party","Pink RumRumLongdrinkMedium","https://cocktailflow.com/cocktail/pink-rum","2 parts cranberry juice"
"1681171858-13365","https://cocktailflow.com/collection/house-party","Pink RumRumLongdrinkMedium","https://cocktailflow.com/cocktail/pink-rum","1 part club soda"
"1681171858-13366","https://cocktailflow.com/collection/house-party","Pink RumRumLongdrinkMedium","https://cocktailflow.com/cocktail/pink-rum","ice cubes"
