web-scraper-order,web-scraper-start-url,drink_name,drink-name-href,drink_info
1680199969-2487,https://cocktailflow.com/collection/strength-light,Aperol SpritzWineClassicSparklingLight,https://cocktailflow.com/cocktail/aperol-spritz,Ingredients
1680199969-2488,https://cocktailflow.com/collection/strength-light,Aperol SpritzWineClassicSparklingLight,https://cocktailflow.com/cocktail/aperol-spritz,1½ parts aperol
1680199969-2489,https://cocktailflow.com/collection/strength-light,Aperol SpritzWineClassicSparklingLight,https://cocktailflow.com/cocktail/aperol-spritz,6 parts prosecco
1680199969-2490,https://cocktailflow.com/collection/strength-light,Aperol SpritzWineClassicSparklingLight,https://cocktailflow.com/cocktail/aperol-spritz,1 splash club soda
1680199969-2491,https://cocktailflow.com/collection/strength-light,Aperol SpritzWineClassicSparklingLight,https://cocktailflow.com/cocktail/aperol-spritz,ice
1680199969-2492,https://cocktailflow.com/collection/strength-light,Aperol SpritzWineClassicSparklingLight,https://cocktailflow.com/cocktail/aperol-spritz,How to Mix
1680199969-2493,https://cocktailflow.com/collection/strength-light,Aperol SpritzWineClassicSparklingLight,https://cocktailflow.com/cocktail/aperol-spritz,add ice to the sour glass
1680199969-2494,https://cocktailflow.com/collection/strength-light,Aperol SpritzWineClassicSparklingLight,https://cocktailflow.com/cocktail/aperol-spritz,"add prosecco,club soda,aperol to the glass"
1680199969-2495,https://cocktailflow.com/collection/strength-light,Aperol SpritzWineClassicSparklingLight,https://cocktailflow.com/cocktail/aperol-spritz,"garnish with orange , cocktail cherry"
1680199971-2496,https://cocktailflow.com/collection/strength-light,Nutty IrishmanLiqueurCreamyLight,https://cocktailflow.com/cocktail/nutty-irishman,Ingredients
1680199971-2497,https://cocktailflow.com/collection/strength-light,Nutty IrishmanLiqueurCreamyLight,https://cocktailflow.com/cocktail/nutty-irishman,1 part irish cream
1680199971-2498,https://cocktailflow.com/collection/strength-light,Nutty IrishmanLiqueurCreamyLight,https://cocktailflow.com/cocktail/nutty-irishman,1 part hazelnut liqueur
1680199971-2499,https://cocktailflow.com/collection/strength-light,Nutty IrishmanLiqueurCreamyLight,https://cocktailflow.com/cocktail/nutty-irishman,1 part half & half
1680199971-2500,https://cocktailflow.com/collection/strength-light,Nutty IrishmanLiqueurCreamyLight,https://cocktailflow.com/cocktail/nutty-irishman,ice cubes
1680199971-2501,https://cocktailflow.com/collection/strength-light,Nutty IrishmanLiqueurCreamyLight,https://cocktailflow.com/cocktail/nutty-irishman,How to Mix
1680199971-2502,https://cocktailflow.com/collection/strength-light,Nutty IrishmanLiqueurCreamyLight,https://cocktailflow.com/cocktail/nutty-irishman,fill up the glass with ice
1680199971-2503,https://cocktailflow.com/collection/strength-light,Nutty IrishmanLiqueurCreamyLight,https://cocktailflow.com/cocktail/nutty-irishman,fill up the shaker with ice
1680199971-2504,https://cocktailflow.com/collection/strength-light,Nutty IrishmanLiqueurCreamyLight,https://cocktailflow.com/cocktail/nutty-irishman,"pour half & half,hazelnut liqueur,irish cream into the shaker"
1680199971-2505,https://cocktailflow.com/collection/strength-light,Nutty IrishmanLiqueurCreamyLight,https://cocktailflow.com/cocktail/nutty-irishman,shake well
1680199971-2506,https://cocktailflow.com/collection/strength-light,Nutty IrishmanLiqueurCreamyLight,https://cocktailflow.com/cocktail/nutty-irishman,strain into the old fashioned glass
1680199974-2507,https://cocktailflow.com/collection/strength-light,Citrus SplashVodkaLongdrinkLight,https://cocktailflow.com/cocktail/citrus-splash,Ingredients
1680199974-2508,https://cocktailflow.com/collection/strength-light,Citrus SplashVodkaLongdrinkLight,https://cocktailflow.com/cocktail/citrus-splash,2 parts vodka
1680199974-2509,https://cocktailflow.com/collection/strength-light,Citrus SplashVodkaLongdrinkLight,https://cocktailflow.com/cocktail/citrus-splash,4½ parts Sprite
1680199974-2510,https://cocktailflow.com/collection/strength-light,Citrus SplashVodkaLongdrinkLight,https://cocktailflow.com/cocktail/citrus-splash,1 splash grapefruit juice
1680199974-2511,https://cocktailflow.com/collection/strength-light,Citrus SplashVodkaLongdrinkLight,https://cocktailflow.com/cocktail/citrus-splash,ice cubes
1680199974-2512,https://cocktailflow.com/collection/strength-light,Citrus SplashVodkaLongdrinkLight,https://cocktailflow.com/cocktail/citrus-splash,How to Mix
1680199974-2513,https://cocktailflow.com/collection/strength-light,Citrus SplashVodkaLongdrinkLight,https://cocktailflow.com/cocktail/citrus-splash,fill up the old fashioned glass with ice
1680199974-2514,https://cocktailflow.com/collection/strength-light,Citrus SplashVodkaLongdrinkLight,https://cocktailflow.com/cocktail/citrus-splash,"pour vodka,grapefruit juice,Sprite into the collins glass"
1680199974-2515,https://cocktailflow.com/collection/strength-light,Citrus SplashVodkaLongdrinkLight,https://cocktailflow.com/cocktail/citrus-splash,garnish with mint leaves
1680199976-2516,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,Ingredients
1680199976-2517,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,2 parts tequila
1680199976-2518,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,4 parts club soda
1680199976-2519,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,½ parts lime juice
1680199976-2520,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,6 pieces mint leaves
1680199976-2521,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,2 pieces basil
1680199976-2522,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,1 tbsp sugar
1680199976-2523,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,ice
1680199976-2524,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,How to Mix
1680199976-2525,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,"crush sugar,mint leaves,lime juice,basil with muddler"
1680199976-2526,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,add tequila to the old fashioned glass
1680199976-2527,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,stir together
1680199976-2528,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,fill up the glass with club soda
1680199976-2529,https://cocktailflow.com/collection/strength-light,Turtle TimeTequilaShortLight,https://cocktailflow.com/cocktail/turtle-time,add ice to the glass
