web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
1681142772-2431,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,Ingredients
1681142772-2432,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,2 bottles red wine
1681142772-2433,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,1 cup Triple sec
1681142772-2434,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,2 cups orange juice
1681142772-2435,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,½ cups sugar syrup
1681142772-2436,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,1 piece orange
1681142772-2437,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,1 cup strawberry
1681142772-2438,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,1 dash ground cinnamon
1681142772-2439,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,How to Mix
1681142772-2440,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,"add sugar syrup,strawberry,red wine,orange juice,orange,ground cinnamon,Triple sec to the bucket"
1681142772-2441,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,stir together
1681142772-2442,https://cocktailflow.com/collection/type-longdrink,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,"garnish with orange wheel , cinnamon stick"
1681142774-2443,https://cocktailflow.com/collection/type-longdrink,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,Ingredients
1681142774-2444,https://cocktailflow.com/collection/type-longdrink,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,3 parts campari
1681142774-2445,https://cocktailflow.com/collection/type-longdrink,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,2¼ parts white wine
1681142774-2446,https://cocktailflow.com/collection/type-longdrink,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,¾ parts club soda
1681142774-2447,https://cocktailflow.com/collection/type-longdrink,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,ice
1681142774-2448,https://cocktailflow.com/collection/type-longdrink,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,How to Mix
1681142774-2449,https://cocktailflow.com/collection/type-longdrink,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,fill up the sour glass with ice
1681142774-2450,https://cocktailflow.com/collection/type-longdrink,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,"pour white wine,club soda,campari into the glass"
1681142774-2451,https://cocktailflow.com/collection/type-longdrink,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,stir together
1681142774-2452,https://cocktailflow.com/collection/type-longdrink,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,garnish with lime slice
1681142776-2453,https://cocktailflow.com/collection/type-longdrink,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,Ingredients
1681142776-2454,https://cocktailflow.com/collection/type-longdrink,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,2 parts tequila
1681142776-2455,https://cocktailflow.com/collection/type-longdrink,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,1 dash Triple sec
1681142776-2456,https://cocktailflow.com/collection/type-longdrink,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,1 dash grenadine
1681142776-2457,https://cocktailflow.com/collection/type-longdrink,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,2 parts grapefruit juice
1681142776-2458,https://cocktailflow.com/collection/type-longdrink,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,ice cubes
1681142776-2459,https://cocktailflow.com/collection/type-longdrink,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,How to Mix
1681142776-2460,https://cocktailflow.com/collection/type-longdrink,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,fill up the shaker with ice cubes
1681142776-2461,https://cocktailflow.com/collection/type-longdrink,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,"pour grapefruit juice,grenadine,Triple sec,tequila into the shaker"
1681142776-2462,https://cocktailflow.com/collection/type-longdrink,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,shake well
1681142776-2463,https://cocktailflow.com/collection/type-longdrink,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,strain into the sour glass
1681142778-2464,https://cocktailflow.com/collection/type-longdrink,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,Ingredients
1681142778-2465,https://cocktailflow.com/collection/type-longdrink,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,2 parts gin
1681142778-2466,https://cocktailflow.com/collection/type-longdrink,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,½ parts sugar syrup
1681142778-2467,https://cocktailflow.com/collection/type-longdrink,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,2 parts orange juice
1681142778-2468,https://cocktailflow.com/collection/type-longdrink,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,ice cubes
1681142778-2469,https://cocktailflow.com/collection/type-longdrink,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,How to Mix
1681142778-2470,https://cocktailflow.com/collection/type-longdrink,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,fill up the shaker with ice
1681142778-2471,https://cocktailflow.com/collection/type-longdrink,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,"pour orange juice,sugar syrup,gin into the shaker"
1681142778-2472,https://cocktailflow.com/collection/type-longdrink,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,shake well
1681142778-2473,https://cocktailflow.com/collection/type-longdrink,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,strain into the sour glass
1681142778-2474,https://cocktailflow.com/collection/type-longdrink,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,garnish with orange wheel
1681142780-2475,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,Ingredients
1681142780-2476,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,3 parts vodka
1681142780-2477,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,1 splash Triple sec
1681142780-2478,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,1 splash pomegranate juice
1681142780-2479,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,½ pieces lemon
1681142780-2480,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,ice
1681142780-2481,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,How to Mix
1681142780-2482,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,add ice to the shaker
1681142780-2483,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,"add vodka,pomegranate juice,Triple sec to the shaker"
1681142780-2484,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,shake well
1681142780-2485,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,strain into the snifter glass
1681142780-2486,https://cocktailflow.com/collection/type-longdrink,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,garnish with cinnamon stick
1681142783-2487,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,Ingredients
1681142783-2488,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,3 parts tequila
1681142783-2489,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,1½ parts lime juice
1681142783-2490,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,1 part agave nectar
1681142783-2491,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,2  strawberry
1681142783-2492,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,4 pieces basil
1681142783-2493,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,2 dashes pilsner
1681142783-2494,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,ice
1681142783-2495,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,How to Mix
1681142783-2496,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,garnish with salt rim
1681142783-2497,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,"add basil,strawberry to the shaker"
1681142783-2498,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,"crush strawberry,basil with muddler , shaker"
1681142783-2499,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,"add ice,tequila,lime juice,agave nectar to the shaker"
1681142783-2500,https://cocktailflow.com/collection/type-longdrink,El MatadorTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/el-matador,shake well
