web-scraper-order,web-scraper-start-url,drink_name,drink-name-href,drink_info
1680200422-3447,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,Ingredients
1680200422-3448,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,1 part vodka
1680200422-3449,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,1 part irish cream
1680200422-3450,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,1 part Amaretto
1680200422-3451,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,2 parts half & half
1680200422-3452,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,crushed ice
1680200422-3453,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,How to Mix
1680200422-3454,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,fill up the glass with ice
1680200422-3455,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,fill up the shaker with ice
1680200422-3456,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,"pour half & half,Amaretto,irish cream,vodka into the shaker"
1680200422-3457,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,shake well
1680200422-3458,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,strain into the sour glass
1680200422-3459,https://cocktailflow.com/collection/strength-medium,Screaming OrgasmLiqueurCreamyMedium,https://cocktailflow.com/cocktail/screaming-orgasm,garnish with whipped cream
1680200424-3460,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,Ingredients
1680200424-3461,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,2 bottles red wine
1680200424-3462,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,1 cup Triple sec
1680200424-3463,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,2 cups orange juice
1680200424-3464,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,½ cups sugar syrup
1680200424-3465,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,1 piece orange
1680200424-3466,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,1 cup strawberry
1680200424-3467,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,1 dash ground cinnamon
1680200424-3468,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,How to Mix
1680200424-3469,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,"add sugar syrup,strawberry,red wine,orange juice,orange,ground cinnamon,Triple sec to the bucket"
1680200424-3470,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,stir together
1680200424-3471,https://cocktailflow.com/collection/strength-medium,Classic SangriaWineClassicLongdrinkMedium,https://cocktailflow.com/cocktail/classic-sangria,"garnish with orange wheel , cinnamon stick"
1680200426-3472,https://cocktailflow.com/collection/strength-medium,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,Ingredients
1680200426-3473,https://cocktailflow.com/collection/strength-medium,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,3 parts campari
1680200426-3474,https://cocktailflow.com/collection/strength-medium,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,2¼ parts white wine
1680200426-3475,https://cocktailflow.com/collection/strength-medium,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,¾ parts club soda
1680200426-3476,https://cocktailflow.com/collection/strength-medium,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,ice
1680200426-3477,https://cocktailflow.com/collection/strength-medium,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,How to Mix
1680200426-3478,https://cocktailflow.com/collection/strength-medium,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,fill up the sour glass with ice
1680200426-3479,https://cocktailflow.com/collection/strength-medium,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,"pour white wine,club soda,campari into the glass"
1680200426-3480,https://cocktailflow.com/collection/strength-medium,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,stir together
1680200426-3481,https://cocktailflow.com/collection/strength-medium,BiciclettaWineLongdrinkMedium,https://cocktailflow.com/cocktail/bicicletta,garnish with lime slice
1680200428-3482,https://cocktailflow.com/collection/strength-medium,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,Ingredients
1680200428-3483,https://cocktailflow.com/collection/strength-medium,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,2 parts tequila
1680200428-3484,https://cocktailflow.com/collection/strength-medium,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,1 dash Triple sec
1680200428-3485,https://cocktailflow.com/collection/strength-medium,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,1 dash grenadine
1680200428-3486,https://cocktailflow.com/collection/strength-medium,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,2 parts grapefruit juice
1680200428-3487,https://cocktailflow.com/collection/strength-medium,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,ice cubes
1680200428-3488,https://cocktailflow.com/collection/strength-medium,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,How to Mix
1680200428-3489,https://cocktailflow.com/collection/strength-medium,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,fill up the shaker with ice cubes
1680200428-3490,https://cocktailflow.com/collection/strength-medium,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,"pour grapefruit juice,grenadine,Triple sec,tequila into the shaker"
1680200428-3491,https://cocktailflow.com/collection/strength-medium,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,shake well
1680200428-3492,https://cocktailflow.com/collection/strength-medium,IcebreakerTequilaLongdrinkMedium,https://cocktailflow.com/cocktail/icebreaker,strain into the sour glass
1680200431-3493,https://cocktailflow.com/collection/strength-medium,Night and DayChampagneSparklingMedium,https://cocktailflow.com/cocktail/night-and-day,Ingredients
1680200431-3494,https://cocktailflow.com/collection/strength-medium,Night and DayChampagneSparklingMedium,https://cocktailflow.com/cocktail/night-and-day,1 dash angostura
1680200431-3495,https://cocktailflow.com/collection/strength-medium,Night and DayChampagneSparklingMedium,https://cocktailflow.com/cocktail/night-and-day,½ parts Cointreau
1680200431-3496,https://cocktailflow.com/collection/strength-medium,Night and DayChampagneSparklingMedium,https://cocktailflow.com/cocktail/night-and-day,¾ parts brandy
1680200431-3497,https://cocktailflow.com/collection/strength-medium,Night and DayChampagneSparklingMedium,https://cocktailflow.com/cocktail/night-and-day,3 parts champagne
1680200431-3498,https://cocktailflow.com/collection/strength-medium,Night and DayChampagneSparklingMedium,https://cocktailflow.com/cocktail/night-and-day,crushed ice
1680200431-3499,https://cocktailflow.com/collection/strength-medium,Night and DayChampagneSparklingMedium,https://cocktailflow.com/cocktail/night-and-day,How to Mix
1680200431-3500,https://cocktailflow.com/collection/strength-medium,Night and DayChampagneSparklingMedium,https://cocktailflow.com/cocktail/night-and-day,fill up the sour glass with crushed ice
1680200431-3501,https://cocktailflow.com/collection/strength-medium,Night and DayChampagneSparklingMedium,https://cocktailflow.com/cocktail/night-and-day,"pour brandy,Cointreau,angostura into the glass"
1680200431-3502,https://cocktailflow.com/collection/strength-medium,Night and DayChampagneSparklingMedium,https://cocktailflow.com/cocktail/night-and-day,fill up the glass with champagne
1680200433-3503,https://cocktailflow.com/collection/strength-medium,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,Ingredients
1680200433-3504,https://cocktailflow.com/collection/strength-medium,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,2 parts gin
1680200433-3505,https://cocktailflow.com/collection/strength-medium,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,½ parts sugar syrup
1680200433-3506,https://cocktailflow.com/collection/strength-medium,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,2 parts orange juice
1680200433-3507,https://cocktailflow.com/collection/strength-medium,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,ice cubes
1680200433-3508,https://cocktailflow.com/collection/strength-medium,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,How to Mix
1680200433-3509,https://cocktailflow.com/collection/strength-medium,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,fill up the shaker with ice
1680200433-3510,https://cocktailflow.com/collection/strength-medium,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,"pour orange juice,sugar syrup,gin into the shaker"
1680200433-3511,https://cocktailflow.com/collection/strength-medium,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,shake well
1680200433-3512,https://cocktailflow.com/collection/strength-medium,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,strain into the sour glass
1680200433-3513,https://cocktailflow.com/collection/strength-medium,Orange BlossomGinLongdrinkMedium,https://cocktailflow.com/cocktail/orange-blossom,garnish with orange wheel
1680200435-3514,https://cocktailflow.com/collection/strength-medium,The SourWhiskeyShortMedium,https://cocktailflow.com/cocktail/the-sour,Ingredients
