,drink_name,category,instructions,picture,taste,ingredients1,quantity1,ingredients2,quantity2,ingredients3,quantity3,ingredients4,quantity4,ingredients5,quantity5,ingredients6,quantity6,ingredients7,quantity7,ingredients8,quantity8,ingredients9,quantity9,ingredients10,quantity10,ingredients11,quantity11,ingredients12,quantity12
0,#106 Cocktail,,Shake and double strain into a coupe. Garnish with sage.. . *Pear Syrup:. -- Pear. -- Sage. -- White Pepper. -- Star Anise,,,chinaco blanco tequila,1 oz,luxardo bitter bianco,1 oz,pear syrup*,.5 oz,lemon juice,.5 oz,grey sea salt,pinc,,,,,,,,,,,,,,
1,'57 Chevy with a White License Plate,"cocktail, shot",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,,creme de cacao,1 oz white,vodka,1 oz,,,,,,,,,,,,,,,,,,,,
2,1-900-FUK-MEUP,"shot, beer",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,,absolut kurant,1/2 oz,grand marnier,1/4 oz,chambord raspberry liqueur,1/4 oz,midori melon liqueur,1/4 oz,malibu rum,1/4 oz,amaretto,1/4 oz,cranberry juice,1/2 oz,pineapple juice,1/4 oz,,,,,,,,
3,10 to 7,,Shake and serve up in a martini glass with lemon peel rind.,,,no. 209 gin,1 oz,luxardo maraschino liqueur,1 oz,st. germain,1 oz,lemon juice,1 oz,,,,,,,,,,,,,,,,
4,110 in the shade,"beer, milk , float , shake",Drop shooter in glass. Fill with beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,,lager,16 oz,tequila,1.5 oz,,,,,,,,,,,,,,,,,,,,
5,151 Florida Bushwacker,"milk , float , shake, cocktail",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,,malibu rum,1/2 oz,light rum,1/2 oz,151 proof rum,1/2 oz bacardi,dark creme de cacao,1 oz,cointreau,1 oz,milk,3 oz,coconut liqueur,1 oz,vanilla ice-cream,1 cup,,,,,,,,
6,155 Belmont,"cocktail, shot",Blend with ice. Serve in a wine glass. Garnish with carrot.,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,,dark rum,1 shot,light rum,2 shots,vodka,1 shot,orange juice,1 shot,,,,,,,,,,,,,,,,
7,1880's Americana,,Build over ice in Old Fashioned glass.,,,hirsch small batch reserve bourbon,2 oz,amer picon,10 ml,house cola syrup,10 ml,,,,,,,,,,,,,,,,,,
8,20th Century,,Shake with ice. Strain into a chilled cocktail glass.,,,no.3 london dry gin,1.5 oz,tempus fugit kina l'aero d'or,.75 oz,tempus fugit creme de cacao,.75 oz,fresh lemon juice,.75 oz,,,,,,,,,,,,,,,,
9,24k nightmare,"shot, shot","Add over ice,shake and pour.",http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,,goldschlager,1/2 oz,jägermeister,1/2 oz,rumple minze,1/2 oz,151 proof rum,1/2 oz bacardi,,,,,,,,,,,,,,,,
10,252,"shot, shot","Add both ingredients to shot glass, shoot, and get drunk quick",http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,,151 proof rum,1/2 shot bacardi,wild turkey,1/2 shot,,,,,,,,,,,,,,,,,,,,
11,3 & Tree,,Pour No.3 into ice-filled collins glass. Top off with Fever-Tree Tonic Water to just below rim of the glass. Float .25 oz. of Maurin Quina on top of cocktail. Garnish with small spoonful of fresh pomegranate seeds.,,,no.3 london dry gin,1.5 oz,fever-tree tonic water,top,maurin quina,.25 oz,,,,,,,,,,,,,,,,,,
12,3 & Tree Tonic,,,,,no.3 london dry gin,1.5 oz,fever-tree tonic water,top,,,,,,,,,,,,,,,,,,,,
13,3 Degrees,,"Combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage.",,,no.3 london dry gin,1.75 oz,velvet falernum,.75 oz,lime juice,.5 oz,pear sage foam,.5 oz,prosecco,1 float,,,,,,,,,,,,,,
14,3 Wise Men,"shot, ordinary drink",put them them in a glass... and slam it to tha head.,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,,jack daniels,1/3 oz,johnnie walker,1/3 oz,jim beam,1/3 oz,,,,,,,,,,,,,,,,,,
15,3-Mile Long Island Iced Tea,"ordinary drink, ordinary drink",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,sweet,gin,1/2 oz,light rum,1/2 oz,tequila,1/2 oz,triple sec,1/2 oz,vodka,1/2 oz,coca-cola,,sweet and sour,1-2 dash,bitters,1 wedge,lemon,,,,,,,
16,3AM,,Shake all ingredients with ice and strain into an iced up glass.,,,no.3 london dry gin,1.5 oz,h by hine,.75 oz,luxardo triplum (triple sec),.75 oz,king's ginger liqueur,.5 oz,fresh lime juice,.5 oz,,,,,,,,,,,,,,
17,410 Gone,"ordinary drink, ordinary drink",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,sweet,peach vodka,2-3 oz,coca-cola, ,,,,,,,,,,,,,,,,,,,,
