web-scraper-order,web-scraper-start-url,drink_name,drink-name-href,drink_info
1680198828-1,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,Ingredients
1680198828-2,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,1 quart watermelon
1680198828-3,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,½ cups lime juice
1680198828-4,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,¼ cups sugar
1680198828-5,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,6 pieces strawberry
1680198828-6,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,¼ cups milk
1680198828-7,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,ice
1680198828-8,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,How to Mix
1680198828-9,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,add ice to the blender
1680198828-10,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,"pour milk,lime juice into the blender"
1680198828-11,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,"add watermelon,strawberry to the blender"
1680198828-12,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,blend together
1680198828-13,https://cocktailflow.com/collection/strength-virgin,Virgin Melon Berry SlushJuiceFrozenNonalcoholic,https://cocktailflow.com/cocktail/virgin-melon-berry-slush,strain into the snifter glass
