web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681172148-13752","https://cocktailflow.com/collection/movie-nights","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","Ingredients"
"1681172148-13753","https://cocktailflow.com/collection/movie-nights","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","1 dash angostura"
"1681172148-13754","https://cocktailflow.com/collection/movie-nights","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","½ parts Cointreau"
"1681172148-13755","https://cocktailflow.com/collection/movie-nights","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","¾ parts brandy"
"1681172148-13756","https://cocktailflow.com/collection/movie-nights","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","3 parts champagne"
"1681172148-13757","https://cocktailflow.com/collection/movie-nights","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","crushed ice"
"1681172148-13758","https://cocktailflow.com/collection/movie-nights","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","How to Mix"
"1681172148-13759","https://cocktailflow.com/collection/movie-nights","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","fill up the sour glass with crushed ice"
"1681172148-13760","https://cocktailflow.com/collection/movie-nights","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","pour brandy,Cointreau,angostura into the glass"
"1681172148-13761","https://cocktailflow.com/collection/movie-nights","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","fill up the glass with champagne"
"1681172150-13762","https://cocktailflow.com/collection/movie-nights","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","Ingredients"
"1681172150-13763","https://cocktailflow.com/collection/movie-nights","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","1 part orange juice"
"1681172150-13764","https://cocktailflow.com/collection/movie-nights","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","1 part lime juice"
"1681172150-13765","https://cocktailflow.com/collection/movie-nights","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","¼ cups cranberry juice"
"1681172150-13766","https://cocktailflow.com/collection/movie-nights","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","1 tbsp sugar syrup"
"1681172150-13767","https://cocktailflow.com/collection/movie-nights","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","8 pieces mint leaves"
"1681172150-13768","https://cocktailflow.com/collection/movie-nights","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","1½ cups club soda"
"1681172150-13769","https://cocktailflow.com/collection/movie-nights","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","ice"
"1681172150-13770","https://cocktailflow.com/collection/movie-nights","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","How to Mix"
"1681172150-13771","https://cocktailflow.com/collection/movie-nights","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","add sugar syrup,orange juice,mint leaves,lime juice,ice,cranberry juice to the shaker"
"1681172150-13772","https://cocktailflow.com/collection/movie-nights","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","shake well"
