web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681400054-1887","https://cocktailflow.com/collection/color-multicolored","The PatriotVodkaShooterMedium","https://cocktailflow.com/cocktail/the-patriot","Ingredients"
"1681400054-1888","https://cocktailflow.com/collection/color-multicolored","The PatriotVodkaShooterMedium","https://cocktailflow.com/cocktail/the-patriot","½ parts vodka"
"1681400054-1889","https://cocktailflow.com/collection/color-multicolored","The PatriotVodkaShooterMedium","https://cocktailflow.com/cocktail/the-patriot","½ parts Blue Curacao"
"1681400054-1890","https://cocktailflow.com/collection/color-multicolored","The PatriotVodkaShooterMedium","https://cocktailflow.com/cocktail/the-patriot","½ parts grenadine"
"1681400054-1891","https://cocktailflow.com/collection/color-multicolored","The PatriotVodkaShooterMedium","https://cocktailflow.com/cocktail/the-patriot","How to Mix"
"1681400054-1892","https://cocktailflow.com/collection/color-multicolored","The PatriotVodkaShooterMedium","https://cocktailflow.com/cocktail/the-patriot","pour grenadine into the shot glass"
"1681400054-1893","https://cocktailflow.com/collection/color-multicolored","The PatriotVodkaShooterMedium","https://cocktailflow.com/cocktail/the-patriot","gently layer the Blue Curacao"
"1681400054-1894","https://cocktailflow.com/collection/color-multicolored","The PatriotVodkaShooterMedium","https://cocktailflow.com/cocktail/the-patriot","pour vodka into the glass"
"1681400056-1895","https://cocktailflow.com/collection/color-multicolored","ZipperLiqueurShooterStrong","https://cocktailflow.com/cocktail/zipper","Ingredients"
"1681400056-1896","https://cocktailflow.com/collection/color-multicolored","ZipperLiqueurShooterStrong","https://cocktailflow.com/cocktail/zipper","½ parts Grand Marnier"
"1681400056-1897","https://cocktailflow.com/collection/color-multicolored","ZipperLiqueurShooterStrong","https://cocktailflow.com/cocktail/zipper","½ parts tequila"
"1681400056-1898","https://cocktailflow.com/collection/color-multicolored","ZipperLiqueurShooterStrong","https://cocktailflow.com/cocktail/zipper","½ parts irish cream"
"1681400056-1899","https://cocktailflow.com/collection/color-multicolored","ZipperLiqueurShooterStrong","https://cocktailflow.com/cocktail/zipper","How to Mix"
"1681400056-1900","https://cocktailflow.com/collection/color-multicolored","ZipperLiqueurShooterStrong","https://cocktailflow.com/cocktail/zipper","pour Grand Marnier into the glass"
"1681400056-1901","https://cocktailflow.com/collection/color-multicolored","ZipperLiqueurShooterStrong","https://cocktailflow.com/cocktail/zipper","gently layer the tequila"
"1681400056-1902","https://cocktailflow.com/collection/color-multicolored","ZipperLiqueurShooterStrong","https://cocktailflow.com/cocktail/zipper","gently layer the irish cream"
"1681400056-1903","https://cocktailflow.com/collection/color-multicolored","ZipperLiqueurShooterStrong","https://cocktailflow.com/cocktail/zipper","use the back of a teaspoon to separate layers when pouring"
"1681400059-1904","https://cocktailflow.com/collection/color-multicolored","Traffic LightLiqueurShooterMedium","https://cocktailflow.com/cocktail/traffic-light","Ingredients"
"1681400059-1905","https://cocktailflow.com/collection/color-multicolored","Traffic LightLiqueurShooterMedium","https://cocktailflow.com/cocktail/traffic-light","1 part cranberry juice"
"1681400059-1906","https://cocktailflow.com/collection/color-multicolored","Traffic LightLiqueurShooterMedium","https://cocktailflow.com/cocktail/traffic-light","½ parts orange juice"
"1681400059-1907","https://cocktailflow.com/collection/color-multicolored","Traffic LightLiqueurShooterMedium","https://cocktailflow.com/cocktail/traffic-light","½ parts absinthe"
