web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681145593-5522","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","Ingredients"
"1681145593-5523","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","1 quart watermelon"
"1681145593-5524","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","½ cups lime juice"
"1681145593-5525","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","¼ cups sugar"
"1681145593-5526","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","6 pieces strawberry"
"1681145593-5527","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","¼ cups milk"
"1681145593-5528","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","ice"
"1681145593-5529","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","How to Mix"
"1681145593-5530","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","add ice to the blender"
"1681145593-5531","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","pour milk,lime juice into the blender"
"1681145593-5532","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","add watermelon,strawberry to the blender"
"1681145593-5533","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","blend together"
"1681145593-5534","https://cocktailflow.com/collection/type-nonalcoholic","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","strain into the snifter glass"
"1681145595-5535","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","Ingredients"
"1681145595-5536","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","5 pieces raspberry"
"1681145595-5537","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","1 tbsp lime juice"
"1681145595-5538","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","6 parts club soda"
"1681145595-5539","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","ice"
"1681145595-5540","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","How to Mix"
"1681145595-5541","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","add raspberry to the blender"
"1681145595-5542","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","blend together"
"1681145595-5543","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","fill up the collins glass with ice"
"1681145595-5544","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","pour club soda,lime juice into the glass"
"1681145595-5545","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","strain into the glass"
"1681145595-5546","https://cocktailflow.com/collection/type-nonalcoholic","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","garnish with orange wedge"
"1681145597-5547","https://cocktailflow.com/collection/type-nonalcoholic","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","Ingredients"
"1681145597-5548","https://cocktailflow.com/collection/type-nonalcoholic","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","24 parts raspberry"
