web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681400242-2094","https://cocktailflow.com/collection/color-orange","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","Ingredients"
"1681400242-2095","https://cocktailflow.com/collection/color-orange","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","1½ parts aperol"
"1681400242-2096","https://cocktailflow.com/collection/color-orange","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","6 parts prosecco"
"1681400242-2097","https://cocktailflow.com/collection/color-orange","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","1 splash club soda"
"1681400242-2098","https://cocktailflow.com/collection/color-orange","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","ice"
"1681400242-2099","https://cocktailflow.com/collection/color-orange","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","How to Mix"
"1681400242-2100","https://cocktailflow.com/collection/color-orange","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","add ice to the sour glass"
"1681400242-2101","https://cocktailflow.com/collection/color-orange","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","add prosecco,club soda,aperol to the glass"
"1681400242-2102","https://cocktailflow.com/collection/color-orange","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","garnish with orange , cocktail cherry"
"1681400244-2103","https://cocktailflow.com/collection/color-orange","Orange BlossomGinLongdrinkMedium","https://cocktailflow.com/cocktail/orange-blossom","Ingredients"
"1681400244-2104","https://cocktailflow.com/collection/color-orange","Orange BlossomGinLongdrinkMedium","https://cocktailflow.com/cocktail/orange-blossom","2 parts gin"
"1681400244-2105","https://cocktailflow.com/collection/color-orange","Orange BlossomGinLongdrinkMedium","https://cocktailflow.com/cocktail/orange-blossom","½ parts sugar syrup"
"1681400244-2106","https://cocktailflow.com/collection/color-orange","Orange BlossomGinLongdrinkMedium","https://cocktailflow.com/cocktail/orange-blossom","2 parts orange juice"
"1681400244-2107","https://cocktailflow.com/collection/color-orange","Orange BlossomGinLongdrinkMedium","https://cocktailflow.com/cocktail/orange-blossom","ice cubes"
"1681400244-2108","https://cocktailflow.com/collection/color-orange","Orange BlossomGinLongdrinkMedium","https://cocktailflow.com/cocktail/orange-blossom","How to Mix"
"1681400244-2109","https://cocktailflow.com/collection/color-orange","Orange BlossomGinLongdrinkMedium","https://cocktailflow.com/cocktail/orange-blossom","fill up the shaker with ice"
"1681400244-2110","https://cocktailflow.com/collection/color-orange","Orange BlossomGinLongdrinkMedium","https://cocktailflow.com/cocktail/orange-blossom","pour orange juice,sugar syrup,gin into the shaker"
"1681400244-2111","https://cocktailflow.com/collection/color-orange","Orange BlossomGinLongdrinkMedium","https://cocktailflow.com/cocktail/orange-blossom","shake well"
"1681400244-2112","https://cocktailflow.com/collection/color-orange","Orange BlossomGinLongdrinkMedium","https://cocktailflow.com/cocktail/orange-blossom","strain into the sour glass"
"1681400244-2113","https://cocktailflow.com/collection/color-orange","Orange BlossomGinLongdrinkMedium","https://cocktailflow.com/cocktail/orange-blossom","garnish with orange wheel"
"1681400247-2114","https://cocktailflow.com/collection/color-orange","AnacondaWhiskeyShooterStrong","https://cocktailflow.com/cocktail/anaconda","Ingredients"
