web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681172400-14374","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","Ingredients"
"1681172400-14375","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","2 bottles red wine"
"1681172400-14376","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","1 cup Triple sec"
"1681172400-14377","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","2 cups orange juice"
"1681172400-14378","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","½ cups sugar syrup"
"1681172400-14379","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","1 piece orange"
"1681172400-14380","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","1 cup strawberry"
"1681172400-14381","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","1 dash ground cinnamon"
"1681172400-14382","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","How to Mix"
"1681172400-14383","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","add sugar syrup,strawberry,red wine,orange juice,orange,ground cinnamon,Triple sec to the bucket"
"1681172400-14384","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","stir together"
"1681172400-14385","https://cocktailflow.com/collection/picnic","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","garnish with orange wheel , cinnamon stick"
"1681172402-14386","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","Ingredients"
"1681172402-14387","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","1 part orange juice"
"1681172402-14388","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","1 part lime juice"
"1681172402-14389","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","¼ cups cranberry juice"
"1681172402-14390","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","1 tbsp sugar syrup"
"1681172402-14391","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","8 pieces mint leaves"
"1681172402-14392","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","1½ cups club soda"
"1681172402-14393","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","ice"
"1681172402-14394","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","How to Mix"
"1681172402-14395","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","add sugar syrup,orange juice,mint leaves,lime juice,ice,cranberry juice to the shaker"
"1681172402-14396","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","shake well"
"1681172402-14397","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","strain into the snifter glass"
"1681172402-14398","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","fill up the glass with club soda"
"1681172402-14399","https://cocktailflow.com/collection/picnic","Raspberry Citrus Mocktail with MintJuiceNonalcoholic","https://cocktailflow.com/cocktail/cranberry-citrus-mint","garnish with mint leaves"
"1681172405-14400","https://cocktailflow.com/collection/picnic","Tomato CoolerJuiceNonalcoholic","https://cocktailflow.com/cocktail/tomato-cooler","Ingredients"
"1681172405-14401","https://cocktailflow.com/collection/picnic","Tomato CoolerJuiceNonalcoholic","https://cocktailflow.com/cocktail/tomato-cooler","6 parts tomato juice"
"1681172405-14402","https://cocktailflow.com/collection/picnic","Tomato CoolerJuiceNonalcoholic","https://cocktailflow.com/cocktail/tomato-cooler","1 tbsp lemon juice"
"1681172405-14403","https://cocktailflow.com/collection/picnic","Tomato CoolerJuiceNonalcoholic","https://cocktailflow.com/cocktail/tomato-cooler","½ parts tonic"
"1681172405-14404","https://cocktailflow.com/collection/picnic","Tomato CoolerJuiceNonalcoholic","https://cocktailflow.com/cocktail/tomato-cooler","ice"
"1681172405-14405","https://cocktailflow.com/collection/picnic","Tomato CoolerJuiceNonalcoholic","https://cocktailflow.com/cocktail/tomato-cooler","How to Mix"
"1681172405-14406","https://cocktailflow.com/collection/picnic","Tomato CoolerJuiceNonalcoholic","https://cocktailflow.com/cocktail/tomato-cooler","add ice to the collins glass"
"1681172405-14407","https://cocktailflow.com/collection/picnic","Tomato CoolerJuiceNonalcoholic","https://cocktailflow.com/cocktail/tomato-cooler","pour tomato juice,lemon juice into the glass"
"1681172405-14408","https://cocktailflow.com/collection/picnic","Tomato CoolerJuiceNonalcoholic","https://cocktailflow.com/cocktail/tomato-cooler","fill up the glass with tonic"
"1681172405-14409","https://cocktailflow.com/collection/picnic","Tomato CoolerJuiceNonalcoholic","https://cocktailflow.com/cocktail/tomato-cooler","garnish with lime wedge"
"1681172407-14410","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","Ingredients"
"1681172407-14411","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","1 cup peach"
"1681172407-14412","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","½ cups cranberry juice"
"1681172407-14413","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","¼ cups orange juice"
"1681172407-14414","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","½ tsp sugar"
"1681172407-14415","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","¼ cups water"
"1681172407-14416","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","ice"
"1681172407-14417","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","How to Mix"
"1681172407-14418","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","add ice to the blender"
"1681172407-14419","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","add water,sugar,peach,orange juice,cranberry juice to the blender"
"1681172407-14420","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","blend together"
"1681172407-14421","https://cocktailflow.com/collection/picnic","Virgin Sex on the Beach SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-sex-on-the-beach-slushy","strain into the old fashioned glass"
"1681172409-14422","https://cocktailflow.com/collection/picnic","Channel OrangeJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/channel-orange","Ingredients"
"1681172409-14423","https://cocktailflow.com/collection/picnic","Channel OrangeJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/channel-orange","1 piece bell pepper"
"1681172409-14424","https://cocktailflow.com/collection/picnic","Channel OrangeJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/channel-orange","1 piece orange"
"1681172409-14425","https://cocktailflow.com/collection/picnic","Channel OrangeJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/channel-orange","1 tbsp coconut oil"
"1681172409-14426","https://cocktailflow.com/collection/picnic","Channel OrangeJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/channel-orange","How to Mix"
"1681172409-14427","https://cocktailflow.com/collection/picnic","Channel OrangeJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/channel-orange","add orange,coconut oil,bell pepper to the blender"
"1681172409-14428","https://cocktailflow.com/collection/picnic","Channel OrangeJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/channel-orange","blend together"
"1681172409-14429","https://cocktailflow.com/collection/picnic","Channel OrangeJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/channel-orange","strain into the collins glass"
"1681172411-14430","https://cocktailflow.com/collection/picnic","Whisky BuckWhiskeyLongdrinkMedium","https://cocktailflow.com/cocktail/whisky-buck","Ingredients"
"1681172411-14431","https://cocktailflow.com/collection/picnic","Whisky BuckWhiskeyLongdrinkMedium","https://cocktailflow.com/cocktail/whisky-buck","3 parts whiskey"
"1681172411-14432","https://cocktailflow.com/collection/picnic","Whisky BuckWhiskeyLongdrinkMedium","https://cocktailflow.com/cocktail/whisky-buck","½ parts lime juice"
"1681172411-14433","https://cocktailflow.com/collection/picnic","Whisky BuckWhiskeyLongdrinkMedium","https://cocktailflow.com/cocktail/whisky-buck","1 tsp sugar syrup"
"1681172411-14434","https://cocktailflow.com/collection/picnic","Whisky BuckWhiskeyLongdrinkMedium","https://cocktailflow.com/cocktail/whisky-buck","4 parts ginger beer"
"1681172411-14435","https://cocktailflow.com/collection/picnic","Whisky BuckWhiskeyLongdrinkMedium","https://cocktailflow.com/cocktail/whisky-buck","ice cubes"
"1681172411-14436","https://cocktailflow.com/collection/picnic","Whisky BuckWhiskeyLongdrinkMedium","https://cocktailflow.com/cocktail/whisky-buck","How to Mix"
"1681172411-14437","https://cocktailflow.com/collection/picnic","Whisky BuckWhiskeyLongdrinkMedium","https://cocktailflow.com/cocktail/whisky-buck","fill up the collins glass with ice"
