web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681400587-2982","https://cocktailflow.com/collection/color-pink","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","Ingredients"
"1681400587-2983","https://cocktailflow.com/collection/color-pink","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","1 dash angostura"
"1681400587-2984","https://cocktailflow.com/collection/color-pink","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","½ parts Cointreau"
"1681400587-2985","https://cocktailflow.com/collection/color-pink","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","¾ parts brandy"
"1681400587-2986","https://cocktailflow.com/collection/color-pink","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","3 parts champagne"
"1681400587-2987","https://cocktailflow.com/collection/color-pink","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","crushed ice"
"1681400587-2988","https://cocktailflow.com/collection/color-pink","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","How to Mix"
"1681400587-2989","https://cocktailflow.com/collection/color-pink","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","fill up the sour glass with crushed ice"
"1681400587-2990","https://cocktailflow.com/collection/color-pink","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","pour brandy,Cointreau,angostura into the glass"
"1681400587-2991","https://cocktailflow.com/collection/color-pink","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","fill up the glass with champagne"
"1681400590-2992","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","Ingredients"
"1681400590-2993","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","24 parts raspberry"
"1681400590-2994","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","1 cup sugar"
"1681400590-2995","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","2 tbsp lime juice"
"1681400590-2996","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","6 cups club soda"
"1681400590-2997","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","ice"
"1681400590-2998","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","How to Mix"
"1681400590-2999","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","add raspberry to the shaker"
"1681400590-3000","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","pour sugar into the shaker"
"1681400590-3001","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","shake well"
"1681400590-3002","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","add lime juice,ice,club soda to the shaker"
"1681400590-3003","https://cocktailflow.com/collection/color-pink","Raspberry LimeadeJuiceNonalcoholic","https://cocktailflow.com/cocktail/rasperry-limeade","strain into the snifter glass"
"1681400592-3004","https://cocktailflow.com/collection/color-pink","Raspberry Limeade SlushiesJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/raspberry-limeade-slushie","Ingredients"
"1681400592-3005","https://cocktailflow.com/collection/color-pink","Raspberry Limeade SlushiesJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/raspberry-limeade-slushie","1 cup lime juice"
"1681400592-3006","https://cocktailflow.com/collection/color-pink","Raspberry Limeade SlushiesJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/raspberry-limeade-slushie","1 cup raspberry"
"1681400592-3007","https://cocktailflow.com/collection/color-pink","Raspberry Limeade SlushiesJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/raspberry-limeade-slushie","1 cup water"
"1681400592-3008","https://cocktailflow.com/collection/color-pink","Raspberry Limeade SlushiesJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/raspberry-limeade-slushie","½ cups sugar"
"1681400592-3009","https://cocktailflow.com/collection/color-pink","Raspberry Limeade SlushiesJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/raspberry-limeade-slushie","1 cup club soda"
