web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681171143-12144","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","Ingredients"
"1681171143-12145","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","2¼ parts white rum"
"1681171143-12146","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","2¼ parts mint liqueur"
"1681171143-12147","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","1 tbsp coconut cream"
"1681171143-12148","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","3 tbsp pineapple juice"
"1681171143-12149","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","1 part Crème de Bananes"
"1681171143-12150","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","½ pieces banana"
"1681171143-12151","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","ice cubes"
"1681171143-12152","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","How to Mix"
"1681171143-12153","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","add white rum,pineapple juice,mint liqueur,coconut cream,banana,ice cubes,Crème de Bananes to the blender"
"1681171143-12154","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","blend together"
"1681171143-12155","https://cocktailflow.com/collection/by-the-swimming-pool","Tropical DreamRumTropicalMedium","https://cocktailflow.com/cocktail/tropical-dream","strain into the hurricane glass"
"1681171145-12156","https://cocktailflow.com/collection/by-the-swimming-pool","Pina ColadaRumTropicalClassicLight","https://cocktailflow.com/cocktail/pina-colada","Ingredients"
"1681171145-12157","https://cocktailflow.com/collection/by-the-swimming-pool","Pina ColadaRumTropicalClassicLight","https://cocktailflow.com/cocktail/pina-colada","1½ parts white rum"
"1681171145-12158","https://cocktailflow.com/collection/by-the-swimming-pool","Pina ColadaRumTropicalClassicLight","https://cocktailflow.com/cocktail/pina-colada","1½ parts coconut milk"
"1681171145-12159","https://cocktailflow.com/collection/by-the-swimming-pool","Pina ColadaRumTropicalClassicLight","https://cocktailflow.com/cocktail/pina-colada","4½ parts pineapple juice"
"1681171145-12160","https://cocktailflow.com/collection/by-the-swimming-pool","Pina ColadaRumTropicalClassicLight","https://cocktailflow.com/cocktail/pina-colada","crushed ice"
"1681171145-12161","https://cocktailflow.com/collection/by-the-swimming-pool","Pina ColadaRumTropicalClassicLight","https://cocktailflow.com/cocktail/pina-colada","How to Mix"
