web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681400953-3844","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","Ingredients"
"1681400953-3845","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","¼ cups basil"
"1681400953-3846","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","1 tbsp flax seed"
"1681400953-3847","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","¾ cups cherry"
"1681400953-3848","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","½ cups strawberry"
"1681400953-3849","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","1 cup almond milk"
"1681400953-3850","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","ice"
"1681400953-3851","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","How to Mix"
"1681400953-3852","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","add ice to the blender"
"1681400953-3853","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","add strawberry,flax seed,cherry,basil,almond milk to the blender"
"1681400953-3854","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","blend together"
"1681400953-3855","https://cocktailflow.com/collection/color-purple","Purple Berry Basil SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/purple-berry-basil","strain into the snifter glass"
"1681400955-3856","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","Ingredients"
"1681400955-3857","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","1 cup cherry"
"1681400955-3858","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","1 cup strawberry"
"1681400955-3859","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","1 cup kale"
"1681400955-3860","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","1 tsp wheat germ"
"1681400955-3861","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","½ tsp grated ginger"
"1681400955-3862","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","¾ cups green tea"
"1681400955-3863","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","ice"
"1681400955-3864","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","How to Mix"
"1681400955-3865","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","add ice to the blender"
"1681400955-3866","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","add wheat germ,strawberry,kale,green tea,grated ginger,cherry to the blender"
"1681400955-3867","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","blend together"
"1681400955-3868","https://cocktailflow.com/collection/color-purple","Cherry Berry Ginger SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/cherry-berry-ginger","strain into the snifter glass"
"1681400957-3869","https://cocktailflow.com/collection/color-purple","Blueberry SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/blueberry","Ingredients"
"1681400957-3870","https://cocktailflow.com/collection/color-purple","Blueberry SmoothieJuiceSmoothieNonalcoholic","https://cocktailflow.com/cocktail/blueberry","1½ cups blueberry"
