web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681401113-4175","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","Ingredients"
"1681401113-4176","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","2 bottles red wine"
"1681401113-4177","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","1 cup Triple sec"
"1681401113-4178","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","2 cups orange juice"
"1681401113-4179","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","½ cups sugar syrup"
"1681401113-4180","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","1 piece orange"
"1681401113-4181","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","1 cup strawberry"
"1681401113-4182","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","1 dash ground cinnamon"
"1681401113-4183","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","How to Mix"
"1681401113-4184","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","add sugar syrup,strawberry,red wine,orange juice,orange,ground cinnamon,Triple sec to the bucket"
"1681401113-4185","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","stir together"
"1681401113-4186","https://cocktailflow.com/collection/color-red","Classic SangriaWineClassicLongdrinkMedium","https://cocktailflow.com/cocktail/classic-sangria","garnish with orange wheel , cinnamon stick"
"1681401115-4187","https://cocktailflow.com/collection/color-red","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","Ingredients"
"1681401115-4188","https://cocktailflow.com/collection/color-red","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","3 parts campari"
"1681401115-4189","https://cocktailflow.com/collection/color-red","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","2¼ parts white wine"
"1681401115-4190","https://cocktailflow.com/collection/color-red","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","¾ parts club soda"
"1681401115-4191","https://cocktailflow.com/collection/color-red","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","ice"
"1681401115-4192","https://cocktailflow.com/collection/color-red","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","How to Mix"
"1681401115-4193","https://cocktailflow.com/collection/color-red","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","fill up the sour glass with ice"
"1681401115-4194","https://cocktailflow.com/collection/color-red","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","pour white wine,club soda,campari into the glass"
"1681401115-4195","https://cocktailflow.com/collection/color-red","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","stir together"
"1681401115-4196","https://cocktailflow.com/collection/color-red","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","garnish with lime slice"
"1681401117-4197","https://cocktailflow.com/collection/color-red","IcebreakerTequilaLongdrinkMedium","https://cocktailflow.com/cocktail/icebreaker","Ingredients"
"1681401117-4198","https://cocktailflow.com/collection/color-red","IcebreakerTequilaLongdrinkMedium","https://cocktailflow.com/cocktail/icebreaker","2 parts tequila"
"1681401117-4199","https://cocktailflow.com/collection/color-red","IcebreakerTequilaLongdrinkMedium","https://cocktailflow.com/cocktail/icebreaker","1 dash Triple sec"
"1681401117-4200","https://cocktailflow.com/collection/color-red","IcebreakerTequilaLongdrinkMedium","https://cocktailflow.com/cocktail/icebreaker","1 dash grenadine"
"1681401117-4201","https://cocktailflow.com/collection/color-red","IcebreakerTequilaLongdrinkMedium","https://cocktailflow.com/cocktail/icebreaker","2 parts grapefruit juice"
"1681401117-4202","https://cocktailflow.com/collection/color-red","IcebreakerTequilaLongdrinkMedium","https://cocktailflow.com/cocktail/icebreaker","ice cubes"
"1681401117-4203","https://cocktailflow.com/collection/color-red","IcebreakerTequilaLongdrinkMedium","https://cocktailflow.com/cocktail/icebreaker","How to Mix"
"1681401117-4204","https://cocktailflow.com/collection/color-red","IcebreakerTequilaLongdrinkMedium","https://cocktailflow.com/cocktail/icebreaker","fill up the shaker with ice cubes"
"1681401117-4205","https://cocktailflow.com/collection/color-red","IcebreakerTequilaLongdrinkMedium","https://cocktailflow.com/cocktail/icebreaker","pour grapefruit juice,grenadine,Triple sec,tequila into the shaker"
"1681401117-4206","https://cocktailflow.com/collection/color-red","IcebreakerTequilaLongdrinkMedium","https://cocktailflow.com/cocktail/icebreaker","shake well"
"1681401117-4207","https://cocktailflow.com/collection/color-red","IcebreakerTequilaLongdrinkMedium","https://cocktailflow.com/cocktail/icebreaker","strain into the sour glass"
"1681401119-4208","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","Ingredients"
"1681401119-4209","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","3 parts vodka"
"1681401119-4210","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","1 splash Triple sec"
"1681401119-4211","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","1 splash pomegranate juice"
"1681401119-4212","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","½ pieces lemon"
"1681401119-4213","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","ice"
"1681401119-4214","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","How to Mix"
"1681401119-4215","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","add ice to the shaker"
"1681401119-4216","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","add vodka,pomegranate juice,Triple sec to the shaker"
"1681401119-4217","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","shake well"
"1681401119-4218","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","strain into the snifter glass"
"1681401119-4219","https://cocktailflow.com/collection/color-red","Summer SunsetVodkaLongdrinkStrong","https://cocktailflow.com/cocktail/summer-sunset","garnish with cinnamon stick"
"1681401122-4220","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","Ingredients"
"1681401122-4221","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","1 quart watermelon"
"1681401122-4222","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","½ cups lime juice"
"1681401122-4223","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","¼ cups sugar"
"1681401122-4224","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","6 pieces strawberry"
"1681401122-4225","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","¼ cups milk"
"1681401122-4226","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","ice"
"1681401122-4227","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","How to Mix"
"1681401122-4228","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","add ice to the blender"
"1681401122-4229","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","pour milk,lime juice into the blender"
"1681401122-4230","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","add watermelon,strawberry to the blender"
"1681401122-4231","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","blend together"
"1681401122-4232","https://cocktailflow.com/collection/color-red","Virgin Melon Berry SlushJuiceFrozenNonalcoholic","https://cocktailflow.com/cocktail/virgin-melon-berry-slush","strain into the snifter glass"
"1681401124-4233","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","Ingredients"
"1681401124-4234","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","5 pieces raspberry"
"1681401124-4235","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","1 tbsp lime juice"
"1681401124-4236","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","6 parts club soda"
"1681401124-4237","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","ice"
"1681401124-4238","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","How to Mix"
"1681401124-4239","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","add raspberry to the blender"
"1681401124-4240","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","blend together"
"1681401124-4241","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","fill up the collins glass with ice"
"1681401124-4242","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","pour club soda,lime juice into the glass"
"1681401124-4243","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","strain into the glass"
"1681401124-4244","https://cocktailflow.com/collection/color-red","Living Is Easy MocktailJuiceNonalcoholic","https://cocktailflow.com/cocktail/living-is-easy-mocktail","garnish with orange wedge"
"1681401126-4245","https://cocktailflow.com/collection/color-red","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","Ingredients"
"1681401126-4246","https://cocktailflow.com/collection/color-red","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","½ parts vodka"
"1681401126-4247","https://cocktailflow.com/collection/color-red","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","½ parts lemon juice"
"1681401126-4248","https://cocktailflow.com/collection/color-red","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","½ parts strawberry syrup"
"1681401126-4249","https://cocktailflow.com/collection/color-red","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","ice"
"1681401126-4250","https://cocktailflow.com/collection/color-red","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","How to Mix"
"1681401126-4251","https://cocktailflow.com/collection/color-red","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","add ice to the shaker"
"1681401126-4252","https://cocktailflow.com/collection/color-red","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","add vodka,strawberry syrup,lemon juice to the shaker"
"1681401126-4253","https://cocktailflow.com/collection/color-red","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","shake well"
"1681401126-4254","https://cocktailflow.com/collection/color-red","Strawberry Vodka ShooterVodkaShooterMedium","https://cocktailflow.com/cocktail/strawberry-vodka-shooter","strain into the shot glass"
"1681401129-4255","https://cocktailflow.com/collection/color-red","Red Headed SlutLiqueurShooterMedium","https://cocktailflow.com/cocktail/red-headed-slut","Ingredients"
"1681401129-4256","https://cocktailflow.com/collection/color-red","Red Headed SlutLiqueurShooterMedium","https://cocktailflow.com/cocktail/red-headed-slut","½ parts jägermeister"
"1681401129-4257","https://cocktailflow.com/collection/color-red","Red Headed SlutLiqueurShooterMedium","https://cocktailflow.com/cocktail/red-headed-slut","½ parts peach schnapps"
"1681401129-4258","https://cocktailflow.com/collection/color-red","Red Headed SlutLiqueurShooterMedium","https://cocktailflow.com/cocktail/red-headed-slut","1 part cranberry juice"
"1681401129-4259","https://cocktailflow.com/collection/color-red","Red Headed SlutLiqueurShooterMedium","https://cocktailflow.com/cocktail/red-headed-slut","How to Mix"
"1681401129-4260","https://cocktailflow.com/collection/color-red","Red Headed SlutLiqueurShooterMedium","https://cocktailflow.com/cocktail/red-headed-slut","fill up the shaker with ice"
"1681401129-4261","https://cocktailflow.com/collection/color-red","Red Headed SlutLiqueurShooterMedium","https://cocktailflow.com/cocktail/red-headed-slut","pour cranberry juice,peach schnapps,jägermeister into the shaker"
"1681401129-4262","https://cocktailflow.com/collection/color-red","Red Headed SlutLiqueurShooterMedium","https://cocktailflow.com/cocktail/red-headed-slut","shake well"
"1681401129-4263","https://cocktailflow.com/collection/color-red","Red Headed SlutLiqueurShooterMedium","https://cocktailflow.com/cocktail/red-headed-slut","strain into the shot glass"
"1681401133-4264","https://cocktailflow.com/collection/color-red","Fall Fruit SangriaWineLongdrinkLight","https://cocktailflow.com/cocktail/fall-fruit-sangria","Ingredients"
"1681401133-4265","https://cocktailflow.com/collection/color-red","Fall Fruit SangriaWineLongdrinkLight","https://cocktailflow.com/cocktail/fall-fruit-sangria","2 pieces apple"
"1681401133-4266","https://cocktailflow.com/collection/color-red","Fall Fruit SangriaWineLongdrinkLight","https://cocktailflow.com/cocktail/fall-fruit-sangria","2 pieces pear"
"1681401133-4267","https://cocktailflow.com/collection/color-red","Fall Fruit SangriaWineLongdrinkLight","https://cocktailflow.com/cocktail/fall-fruit-sangria","1 cup raspberry"
"1681401133-4268","https://cocktailflow.com/collection/color-red","Fall Fruit SangriaWineLongdrinkLight","https://cocktailflow.com/cocktail/fall-fruit-sangria","1 dash cinnamon"
"1681401133-4269","https://cocktailflow.com/collection/color-red","Fall Fruit SangriaWineLongdrinkLight","https://cocktailflow.com/cocktail/fall-fruit-sangria","2 quarts white wine"
"1681401133-4270","https://cocktailflow.com/collection/color-red","Fall Fruit SangriaWineLongdrinkLight","https://cocktailflow.com/cocktail/fall-fruit-sangria","2 quarts cider"
"1681401133-4271","https://cocktailflow.com/collection/color-red","Fall Fruit SangriaWineLongdrinkLight","https://cocktailflow.com/cocktail/fall-fruit-sangria","How to Mix"
"1681401133-4272","https://cocktailflow.com/collection/color-red","Fall Fruit SangriaWineLongdrinkLight","https://cocktailflow.com/cocktail/fall-fruit-sangria","add white wine,raspberry,pear,cinnamon,cider,apple to the bucket"
"1681401133-4273","https://cocktailflow.com/collection/color-red","Fall Fruit SangriaWineLongdrinkLight","https://cocktailflow.com/cocktail/fall-fruit-sangria","stir together"
"1681401133-4274","https://cocktailflow.com/collection/color-red","Fall Fruit SangriaWineLongdrinkLight","https://cocktailflow.com/cocktail/fall-fruit-sangria","garnish with raspberry , cinnamon stick"
"1681401136-4275","https://cocktailflow.com/collection/color-red","Pomegranate ManhattanWhiskeyLongdrinkStrong","https://cocktailflow.com/cocktail/pomegranate-manhattan","Ingredients"
"1681401136-4276","https://cocktailflow.com/collection/color-red","Pomegranate ManhattanWhiskeyLongdrinkStrong","https://cocktailflow.com/cocktail/pomegranate-manhattan","3 parts Bourbon"
"1681401136-4277","https://cocktailflow.com/collection/color-red","Pomegranate ManhattanWhiskeyLongdrinkStrong","https://cocktailflow.com/cocktail/pomegranate-manhattan","2¼ parts pomegranate juice"
"1681401136-4278","https://cocktailflow.com/collection/color-red","Pomegranate ManhattanWhiskeyLongdrinkStrong","https://cocktailflow.com/cocktail/pomegranate-manhattan","2 dashes angostura"
"1681401136-4279","https://cocktailflow.com/collection/color-red","Pomegranate ManhattanWhiskeyLongdrinkStrong","https://cocktailflow.com/cocktail/pomegranate-manhattan","1 splash club soda"
"1681401136-4280","https://cocktailflow.com/collection/color-red","Pomegranate ManhattanWhiskeyLongdrinkStrong","https://cocktailflow.com/cocktail/pomegranate-manhattan","ice cubes"
