web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681172056-13537","https://cocktailflow.com/collection/in-the-restaurant","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","Ingredients"
"1681172056-13538","https://cocktailflow.com/collection/in-the-restaurant","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","3 parts campari"
"1681172056-13539","https://cocktailflow.com/collection/in-the-restaurant","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","2¼ parts white wine"
"1681172056-13540","https://cocktailflow.com/collection/in-the-restaurant","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","¾ parts club soda"
"1681172056-13541","https://cocktailflow.com/collection/in-the-restaurant","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","ice"
"1681172056-13542","https://cocktailflow.com/collection/in-the-restaurant","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","How to Mix"
"1681172056-13543","https://cocktailflow.com/collection/in-the-restaurant","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","fill up the sour glass with ice"
"1681172056-13544","https://cocktailflow.com/collection/in-the-restaurant","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","pour white wine,club soda,campari into the glass"
"1681172056-13545","https://cocktailflow.com/collection/in-the-restaurant","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","stir together"
"1681172056-13546","https://cocktailflow.com/collection/in-the-restaurant","BiciclettaWineLongdrinkMedium","https://cocktailflow.com/cocktail/bicicletta","garnish with lime slice"
"1681172058-13547","https://cocktailflow.com/collection/in-the-restaurant","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","Ingredients"
"1681172058-13548","https://cocktailflow.com/collection/in-the-restaurant","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","1½ parts aperol"
"1681172058-13549","https://cocktailflow.com/collection/in-the-restaurant","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","6 parts prosecco"
"1681172058-13550","https://cocktailflow.com/collection/in-the-restaurant","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","1 splash club soda"
"1681172058-13551","https://cocktailflow.com/collection/in-the-restaurant","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","ice"
"1681172058-13552","https://cocktailflow.com/collection/in-the-restaurant","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","How to Mix"
"1681172058-13553","https://cocktailflow.com/collection/in-the-restaurant","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","add ice to the sour glass"
"1681172058-13554","https://cocktailflow.com/collection/in-the-restaurant","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","add prosecco,club soda,aperol to the glass"
"1681172058-13555","https://cocktailflow.com/collection/in-the-restaurant","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","garnish with orange , cocktail cherry"
"1681172060-13556","https://cocktailflow.com/collection/in-the-restaurant","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","Ingredients"
"1681172060-13557","https://cocktailflow.com/collection/in-the-restaurant","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","2 parts whiskey"
"1681172060-13558","https://cocktailflow.com/collection/in-the-restaurant","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","½ parts sugar syrup"
"1681172060-13559","https://cocktailflow.com/collection/in-the-restaurant","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","1 part lemon juice"
"1681172060-13560","https://cocktailflow.com/collection/in-the-restaurant","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","ice cubes"
"1681172060-13561","https://cocktailflow.com/collection/in-the-restaurant","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","How to Mix"
"1681172060-13562","https://cocktailflow.com/collection/in-the-restaurant","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","fill up the shaker with ice"
"1681172060-13563","https://cocktailflow.com/collection/in-the-restaurant","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","pour lemon juice,sugar syrup,Bourbon into the shaker"
"1681172060-13564","https://cocktailflow.com/collection/in-the-restaurant","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","shake well"
"1681172060-13565","https://cocktailflow.com/collection/in-the-restaurant","The SourWhiskeyShortMedium","https://cocktailflow.com/cocktail/the-sour","strain into the sour glass"
"1681172062-13566","https://cocktailflow.com/collection/in-the-restaurant","AmericanoLiqueurShortClassicMedium","https://cocktailflow.com/cocktail/americano","Ingredients"
"1681172062-13567","https://cocktailflow.com/collection/in-the-restaurant","AmericanoLiqueurShortClassicMedium","https://cocktailflow.com/cocktail/americano","1½ parts campari"
"1681172062-13568","https://cocktailflow.com/collection/in-the-restaurant","AmericanoLiqueurShortClassicMedium","https://cocktailflow.com/cocktail/americano","1½ parts sweet vermouth"
"1681172062-13569","https://cocktailflow.com/collection/in-the-restaurant","AmericanoLiqueurShortClassicMedium","https://cocktailflow.com/cocktail/americano","club soda"
"1681172062-13570","https://cocktailflow.com/collection/in-the-restaurant","AmericanoLiqueurShortClassicMedium","https://cocktailflow.com/cocktail/americano","ice cubes"
"1681172062-13571","https://cocktailflow.com/collection/in-the-restaurant","AmericanoLiqueurShortClassicMedium","https://cocktailflow.com/cocktail/americano","How to Mix"
"1681172062-13572","https://cocktailflow.com/collection/in-the-restaurant","AmericanoLiqueurShortClassicMedium","https://cocktailflow.com/cocktail/americano","fill up the old fashioned glass with ice"
"1681172062-13573","https://cocktailflow.com/collection/in-the-restaurant","AmericanoLiqueurShortClassicMedium","https://cocktailflow.com/cocktail/americano","pour sweet vermouth,campari into the glass"
"1681172062-13574","https://cocktailflow.com/collection/in-the-restaurant","AmericanoLiqueurShortClassicMedium","https://cocktailflow.com/cocktail/americano","fill up the glass with club soda"
"1681172062-13575","https://cocktailflow.com/collection/in-the-restaurant","AmericanoLiqueurShortClassicMedium","https://cocktailflow.com/cocktail/americano","garnish with orange wheel"
"1681172064-13576","https://cocktailflow.com/collection/in-the-restaurant","Crow's NestJuiceNonalcoholic","https://cocktailflow.com/cocktail/crows-nest","Ingredients"
"1681172064-13577","https://cocktailflow.com/collection/in-the-restaurant","Crow's NestJuiceNonalcoholic","https://cocktailflow.com/cocktail/crows-nest","6 parts orange juice"
"1681172064-13578","https://cocktailflow.com/collection/in-the-restaurant","Crow's NestJuiceNonalcoholic","https://cocktailflow.com/cocktail/crows-nest","½ tsp grenadine"
"1681172064-13579","https://cocktailflow.com/collection/in-the-restaurant","Crow's NestJuiceNonalcoholic","https://cocktailflow.com/cocktail/crows-nest","1 piece egg"
"1681172064-13580","https://cocktailflow.com/collection/in-the-restaurant","Crow's NestJuiceNonalcoholic","https://cocktailflow.com/cocktail/crows-nest","2 parts cranberry juice"
