web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681145927-6324","https://cocktailflow.com/collection/type-shooter","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","Ingredients"
"1681145927-6325","https://cocktailflow.com/collection/type-shooter","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","1½ parts canadian whisky"
"1681145927-6326","https://cocktailflow.com/collection/type-shooter","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","½ parts Amaretto"
"1681145927-6327","https://cocktailflow.com/collection/type-shooter","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","How to Mix"
"1681145927-6328","https://cocktailflow.com/collection/type-shooter","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","pour Amaretto,canadian whisky into the shot glass"
"1681145929-6329","https://cocktailflow.com/collection/type-shooter","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","Ingredients"
"1681145929-6330","https://cocktailflow.com/collection/type-shooter","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","1 part vodka"
"1681145929-6331","https://cocktailflow.com/collection/type-shooter","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","1 part apple juice"
"1681145929-6332","https://cocktailflow.com/collection/type-shooter","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","1  whipped cream"
"1681145929-6333","https://cocktailflow.com/collection/type-shooter","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","How to Mix"
"1681145929-6334","https://cocktailflow.com/collection/type-shooter","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","pour apple juice,vodka into the shot glass"
"1681145929-6335","https://cocktailflow.com/collection/type-shooter","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","garnish with whipped cream"
"1681145932-6336","https://cocktailflow.com/collection/type-shooter","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","Ingredients"
"1681145932-6337","https://cocktailflow.com/collection/type-shooter","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","1 part tequila"
"1681145932-6338","https://cocktailflow.com/collection/type-shooter","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","1 part ginger ale"
"1681145932-6339","https://cocktailflow.com/collection/type-shooter","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","How to Mix"
"1681145932-6340","https://cocktailflow.com/collection/type-shooter","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","pour ginger ale,tequila into the shot glass"
"1681145932-6341","https://cocktailflow.com/collection/type-shooter","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","cover the top of the shot glass with hand, hit it to the counter and drink at once while it's fizzing"
"1681145934-6342","https://cocktailflow.com/collection/type-shooter","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","Ingredients"
"1681145934-6343","https://cocktailflow.com/collection/type-shooter","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","1 part tequila"
"1681145934-6344","https://cocktailflow.com/collection/type-shooter","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","½ parts Triple sec"
"1681145934-6345","https://cocktailflow.com/collection/type-shooter","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","½ parts banana liqueur"
"1681145934-6346","https://cocktailflow.com/collection/type-shooter","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","How to Mix"
"1681145934-6347","https://cocktailflow.com/collection/type-shooter","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","pour tequila into the glass"
"1681145934-6348","https://cocktailflow.com/collection/type-shooter","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","gently layer the banana liqueur"
"1681145934-6349","https://cocktailflow.com/collection/type-shooter","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","gently layer the Triple sec"
"1681145934-6350","https://cocktailflow.com/collection/type-shooter","TBTLiqueurShooterExtreme Strong","https://cocktailflow.com/cocktail/tbt","use the back of a teaspoon to separate layers when pouring"
"1681145936-6351","https://cocktailflow.com/collection/type-shooter","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","Ingredients"
"1681145936-6352","https://cocktailflow.com/collection/type-shooter","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","1 part irish cream"
"1681145936-6353","https://cocktailflow.com/collection/type-shooter","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","½ parts lime juice"
"1681145936-6354","https://cocktailflow.com/collection/type-shooter","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","How to Mix"
"1681145936-6355","https://cocktailflow.com/collection/type-shooter","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","pour irish cream into the shot glass"
"1681145936-6356","https://cocktailflow.com/collection/type-shooter","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","gently layer the lime juice"
"1681145936-6357","https://cocktailflow.com/collection/type-shooter","Cement MixerLiqueurShooterCreamyMedium","https://cocktailflow.com/cocktail/cement-mixer","swish around in mouth for a few seconds before swallowing it in one"
"1681145938-6358","https://cocktailflow.com/collection/type-shooter","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","Ingredients"
"1681145938-6359","https://cocktailflow.com/collection/type-shooter","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","¾ parts vodka"
"1681145938-6360","https://cocktailflow.com/collection/type-shooter","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","¾ parts Triple sec"
"1681145938-6361","https://cocktailflow.com/collection/type-shooter","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","¾ parts lime juice"
"1681145938-6362","https://cocktailflow.com/collection/type-shooter","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","ice cubes"
"1681145938-6363","https://cocktailflow.com/collection/type-shooter","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","How to Mix"
"1681145938-6364","https://cocktailflow.com/collection/type-shooter","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","fill up the shaker with ice"
"1681145938-6365","https://cocktailflow.com/collection/type-shooter","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","pour lime juice,Triple sec,vodka into the shaker"
"1681145938-6366","https://cocktailflow.com/collection/type-shooter","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","shake well"
"1681145938-6367","https://cocktailflow.com/collection/type-shooter","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","strain into the shot glass"
"1681145941-6368","https://cocktailflow.com/collection/type-shooter","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","Ingredients"
"1681145941-6369","https://cocktailflow.com/collection/type-shooter","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","1 part vodka"
"1681145941-6370","https://cocktailflow.com/collection/type-shooter","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","1 piece cherry"
"1681145941-6371","https://cocktailflow.com/collection/type-shooter","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","How to Mix"
"1681145941-6372","https://cocktailflow.com/collection/type-shooter","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","pour vodka into the shot glass"
"1681145941-6373","https://cocktailflow.com/collection/type-shooter","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","garnish with cocktail cherry"
"1681145943-6374","https://cocktailflow.com/collection/type-shooter","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","Ingredients"
