web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1680191865-1223","https://cocktailflow.com/collection/type-champagne","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","Ingredients"
"1680191865-1224","https://cocktailflow.com/collection/type-champagne","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","1 dash angostura"
"1680191865-1225","https://cocktailflow.com/collection/type-champagne","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","½ parts Cointreau"
"1680191865-1226","https://cocktailflow.com/collection/type-champagne","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","¾ parts brandy"
"1680191865-1227","https://cocktailflow.com/collection/type-champagne","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","3 parts champagne"
"1680191865-1228","https://cocktailflow.com/collection/type-champagne","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","crushed ice"
"1680191865-1229","https://cocktailflow.com/collection/type-champagne","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","How to Mix"
"1680191865-1230","https://cocktailflow.com/collection/type-champagne","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","fill up the sour glass with crushed ice"
"1680191865-1231","https://cocktailflow.com/collection/type-champagne","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","pour brandy,Cointreau,angostura into the glass"
"1680191865-1232","https://cocktailflow.com/collection/type-champagne","Night and DayChampagneSparklingMedium","https://cocktailflow.com/cocktail/night-and-day","fill up the glass with champagne"
"1680191867-1233","https://cocktailflow.com/collection/type-champagne","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","Ingredients"
"1680191867-1234","https://cocktailflow.com/collection/type-champagne","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","1½ parts aperol"
"1680191867-1235","https://cocktailflow.com/collection/type-champagne","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","6 parts prosecco"
"1680191867-1236","https://cocktailflow.com/collection/type-champagne","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","1 splash club soda"
"1680191867-1237","https://cocktailflow.com/collection/type-champagne","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","ice"
"1680191867-1238","https://cocktailflow.com/collection/type-champagne","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","How to Mix"
"1680191867-1239","https://cocktailflow.com/collection/type-champagne","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","add ice to the sour glass"
"1680191867-1240","https://cocktailflow.com/collection/type-champagne","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","add prosecco,club soda,aperol to the glass"
"1680191867-1241","https://cocktailflow.com/collection/type-champagne","Aperol SpritzWineClassicSparklingLight","https://cocktailflow.com/cocktail/aperol-spritz","garnish with orange , cocktail cherry"
"1680191870-1242","https://cocktailflow.com/collection/type-champagne","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","Ingredients"
"1680191870-1243","https://cocktailflow.com/collection/type-champagne","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","¾ parts lime juice"
"1680191870-1244","https://cocktailflow.com/collection/type-champagne","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","3 parts Scotch"
"1680191870-1245","https://cocktailflow.com/collection/type-champagne","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","6 parts ginger beer"
"1680191870-1246","https://cocktailflow.com/collection/type-champagne","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","ice"
"1680191870-1247","https://cocktailflow.com/collection/type-champagne","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","How to Mix"
"1680191870-1248","https://cocktailflow.com/collection/type-champagne","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","add lime juice,Scotch to the sour glass"
"1680191870-1249","https://cocktailflow.com/collection/type-champagne","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","pour ginger beer into the glass"
"1680191870-1250","https://cocktailflow.com/collection/type-champagne","The Classic Mamie TaylorWhiskeyClassicSparklingMedium","https://cocktailflow.com/cocktail/the-classic-mamie-taylor","garnish with lime wedge"
"1680191872-1251","https://cocktailflow.com/collection/type-champagne","Spritz VenezianoWineSparklingLongdrinkClassicLight","https://cocktailflow.com/cocktail/spritz-veneziano","Ingredients"
"1680191872-1252","https://cocktailflow.com/collection/type-champagne","Spritz VenezianoWineSparklingLongdrinkClassicLight","https://cocktailflow.com/cocktail/spritz-veneziano","3 parts prosecco"
"1680191872-1253","https://cocktailflow.com/collection/type-champagne","Spritz VenezianoWineSparklingLongdrinkClassicLight","https://cocktailflow.com/cocktail/spritz-veneziano","2 parts aperol"
"1680191872-1254","https://cocktailflow.com/collection/type-champagne","Spritz VenezianoWineSparklingLongdrinkClassicLight","https://cocktailflow.com/cocktail/spritz-veneziano","1 splash club soda"
"1680191872-1255","https://cocktailflow.com/collection/type-champagne","Spritz VenezianoWineSparklingLongdrinkClassicLight","https://cocktailflow.com/cocktail/spritz-veneziano","ice"
"1680191872-1256","https://cocktailflow.com/collection/type-champagne","Spritz VenezianoWineSparklingLongdrinkClassicLight","https://cocktailflow.com/cocktail/spritz-veneziano","How to Mix"
