web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681151387-11978","https://cocktailflow.com/collection/at-the-fireplace","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","Ingredients"
"1681151387-11979","https://cocktailflow.com/collection/at-the-fireplace","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","1½ parts canadian whisky"
"1681151387-11980","https://cocktailflow.com/collection/at-the-fireplace","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","½ parts Amaretto"
"1681151387-11981","https://cocktailflow.com/collection/at-the-fireplace","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","How to Mix"
"1681151387-11982","https://cocktailflow.com/collection/at-the-fireplace","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","pour Amaretto,canadian whisky into the shot glass"
"1681151389-11983","https://cocktailflow.com/collection/at-the-fireplace","Tootsie RollLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/tootsie-roll","Ingredients"
"1681151389-11984","https://cocktailflow.com/collection/at-the-fireplace","Tootsie RollLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/tootsie-roll","½ parts coffee liqueur"
"1681151389-11985","https://cocktailflow.com/collection/at-the-fireplace","Tootsie RollLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/tootsie-roll","½ parts Crème de Cacao"
"1681151389-11986","https://cocktailflow.com/collection/at-the-fireplace","Tootsie RollLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/tootsie-roll","½ parts hazelnut liqueur"
"1681151389-11987","https://cocktailflow.com/collection/at-the-fireplace","Tootsie RollLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/tootsie-roll","How to Mix"
"1681151389-11988","https://cocktailflow.com/collection/at-the-fireplace","Tootsie RollLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/tootsie-roll","fill up the shaker with ice"
"1681151389-11989","https://cocktailflow.com/collection/at-the-fireplace","Tootsie RollLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/tootsie-roll","pour hazelnut liqueur,Crème de Cacao,coffee liqueur into the shaker"
"1681151389-11990","https://cocktailflow.com/collection/at-the-fireplace","Tootsie RollLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/tootsie-roll","shake well"
"1681151389-11991","https://cocktailflow.com/collection/at-the-fireplace","Tootsie RollLiqueurShooterCreamyStrong","https://cocktailflow.com/cocktail/tootsie-roll","strain into the shot glass"
"1681151392-11992","https://cocktailflow.com/collection/at-the-fireplace","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","Ingredients"
"1681151392-11993","https://cocktailflow.com/collection/at-the-fireplace","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","2 parts whiskey"
"1681151392-11994","https://cocktailflow.com/collection/at-the-fireplace","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","½ parts lemon juice"
"1681151392-11995","https://cocktailflow.com/collection/at-the-fireplace","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","½ parts grenadine"
"1681151392-11996","https://cocktailflow.com/collection/at-the-fireplace","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","4 parts hot water"
"1681151392-11997","https://cocktailflow.com/collection/at-the-fireplace","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","How to Mix"
"1681151392-11998","https://cocktailflow.com/collection/at-the-fireplace","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","pour hot water,grenadine,lemon juice,Bourbon into the irish coffee glass"
"1681151392-11999","https://cocktailflow.com/collection/at-the-fireplace","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","fill up the glass with hot water"
"1681151392-12000","https://cocktailflow.com/collection/at-the-fireplace","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","stir together"
"1681151392-12001","https://cocktailflow.com/collection/at-the-fireplace","Warm and ToastyWhiskeyHotLight","https://cocktailflow.com/cocktail/warm-and-toasty","garnish with cinnamon stick"
"1681151394-12002","https://cocktailflow.com/collection/at-the-fireplace","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","Ingredients"
"1681151394-12003","https://cocktailflow.com/collection/at-the-fireplace","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","2 parts irish whiskey"
"1681151394-12004","https://cocktailflow.com/collection/at-the-fireplace","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","1 tsp brown sugar"
"1681151394-12005","https://cocktailflow.com/collection/at-the-fireplace","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","4½ parts coffee"
"1681151394-12006","https://cocktailflow.com/collection/at-the-fireplace","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","1½ parts cream"
"1681151394-12007","https://cocktailflow.com/collection/at-the-fireplace","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","How to Mix"
"1681151394-12008","https://cocktailflow.com/collection/at-the-fireplace","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","pour whiskey into the irish coffee glass"
"1681151394-12009","https://cocktailflow.com/collection/at-the-fireplace","Irish CoffeeWhiskeyHotClassicCreamyLight","https://cocktailflow.com/cocktail/irish-coffee","add brown sugar to the glass"
