web-scraper-order,web-scraper-start-url,drink_name,drink-name-href,drink_info
1680201637-5339,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,Ingredients
1680201637-5340,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,3 parts vodka
1680201637-5341,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,1 splash Triple sec
1680201637-5342,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,1 splash pomegranate juice
1680201637-5343,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,½ pieces lemon
1680201637-5344,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,ice
1680201637-5345,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,How to Mix
1680201637-5346,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,add ice to the shaker
1680201637-5347,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,"add vodka,pomegranate juice,Triple sec to the shaker"
1680201637-5348,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,shake well
1680201637-5349,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,strain into the snifter glass
1680201637-5350,https://cocktailflow.com/collection/strength-strong,Summer SunsetVodkaLongdrinkStrong,https://cocktailflow.com/cocktail/summer-sunset,garnish with cinnamon stick
1680201639-5351,https://cocktailflow.com/collection/strength-strong,KamikazeVodkaShooterStrong,https://cocktailflow.com/cocktail/kamikaze,Ingredients
1680201639-5352,https://cocktailflow.com/collection/strength-strong,KamikazeVodkaShooterStrong,https://cocktailflow.com/cocktail/kamikaze,¾ parts vodka
1680201639-5353,https://cocktailflow.com/collection/strength-strong,KamikazeVodkaShooterStrong,https://cocktailflow.com/cocktail/kamikaze,¾ parts Triple sec
1680201639-5354,https://cocktailflow.com/collection/strength-strong,KamikazeVodkaShooterStrong,https://cocktailflow.com/cocktail/kamikaze,¾ parts lime juice
1680201639-5355,https://cocktailflow.com/collection/strength-strong,KamikazeVodkaShooterStrong,https://cocktailflow.com/cocktail/kamikaze,ice cubes
1680201639-5356,https://cocktailflow.com/collection/strength-strong,KamikazeVodkaShooterStrong,https://cocktailflow.com/cocktail/kamikaze,How to Mix
1680201639-5357,https://cocktailflow.com/collection/strength-strong,KamikazeVodkaShooterStrong,https://cocktailflow.com/cocktail/kamikaze,fill up the shaker with ice
1680201639-5358,https://cocktailflow.com/collection/strength-strong,KamikazeVodkaShooterStrong,https://cocktailflow.com/cocktail/kamikaze,"pour lime juice,Triple sec,vodka into the shaker"
1680201639-5359,https://cocktailflow.com/collection/strength-strong,KamikazeVodkaShooterStrong,https://cocktailflow.com/cocktail/kamikaze,shake well
1680201639-5360,https://cocktailflow.com/collection/strength-strong,KamikazeVodkaShooterStrong,https://cocktailflow.com/cocktail/kamikaze,strain into the shot glass
1680201641-5361,https://cocktailflow.com/collection/strength-strong,FireballRumShooterStrong,https://cocktailflow.com/cocktail/fireball,Ingredients
1680201641-5362,https://cocktailflow.com/collection/strength-strong,FireballRumShooterStrong,https://cocktailflow.com/cocktail/fireball,1 part white rum
1680201641-5363,https://cocktailflow.com/collection/strength-strong,FireballRumShooterStrong,https://cocktailflow.com/cocktail/fireball,1 part Goldschläger
1680201641-5364,https://cocktailflow.com/collection/strength-strong,FireballRumShooterStrong,https://cocktailflow.com/cocktail/fireball,1 dash tabasco sauce
1680201641-5365,https://cocktailflow.com/collection/strength-strong,FireballRumShooterStrong,https://cocktailflow.com/cocktail/fireball,How to Mix
1680201641-5366,https://cocktailflow.com/collection/strength-strong,FireballRumShooterStrong,https://cocktailflow.com/cocktail/fireball,fill up the shaker with ice
1680201641-5367,https://cocktailflow.com/collection/strength-strong,FireballRumShooterStrong,https://cocktailflow.com/cocktail/fireball,"pour Goldschläger,white rum into the shaker"
1680201641-5368,https://cocktailflow.com/collection/strength-strong,FireballRumShooterStrong,https://cocktailflow.com/cocktail/fireball,shake well
1680201641-5369,https://cocktailflow.com/collection/strength-strong,FireballRumShooterStrong,https://cocktailflow.com/cocktail/fireball,strain into the shot glass
1680201641-5370,https://cocktailflow.com/collection/strength-strong,FireballRumShooterStrong,https://cocktailflow.com/cocktail/fireball,add tabasco sauce drop by drop
1680201643-5371,https://cocktailflow.com/collection/strength-strong,Purple HooterLiqueurShooterStrong,https://cocktailflow.com/cocktail/purple-hooter,Ingredients
1680201643-5372,https://cocktailflow.com/collection/strength-strong,Purple HooterLiqueurShooterStrong,https://cocktailflow.com/cocktail/purple-hooter,1 part vodka
1680201643-5373,https://cocktailflow.com/collection/strength-strong,Purple HooterLiqueurShooterStrong,https://cocktailflow.com/cocktail/purple-hooter,½ parts black raspberry liqueur
1680201643-5374,https://cocktailflow.com/collection/strength-strong,Purple HooterLiqueurShooterStrong,https://cocktailflow.com/cocktail/purple-hooter,½ parts lime juice
1680201643-5375,https://cocktailflow.com/collection/strength-strong,Purple HooterLiqueurShooterStrong,https://cocktailflow.com/cocktail/purple-hooter,How to Mix
1680201643-5376,https://cocktailflow.com/collection/strength-strong,Purple HooterLiqueurShooterStrong,https://cocktailflow.com/cocktail/purple-hooter,fill up the shaker with ice
1680201643-5377,https://cocktailflow.com/collection/strength-strong,Purple HooterLiqueurShooterStrong,https://cocktailflow.com/cocktail/purple-hooter,"pour lime juice,black raspberry liqueur,vodka into the shaker"
1680201643-5378,https://cocktailflow.com/collection/strength-strong,Purple HooterLiqueurShooterStrong,https://cocktailflow.com/cocktail/purple-hooter,shake well
1680201643-5379,https://cocktailflow.com/collection/strength-strong,Purple HooterLiqueurShooterStrong,https://cocktailflow.com/cocktail/purple-hooter,strain into the shot glass
1680201646-5380,https://cocktailflow.com/collection/strength-strong,AnacondaWhiskeyShooterStrong,https://cocktailflow.com/cocktail/anaconda,Ingredients
1680201646-5381,https://cocktailflow.com/collection/strength-strong,AnacondaWhiskeyShooterStrong,https://cocktailflow.com/cocktail/anaconda,1 part Bourbon
1680201646-5382,https://cocktailflow.com/collection/strength-strong,AnacondaWhiskeyShooterStrong,https://cocktailflow.com/cocktail/anaconda,1 part white sambuca
1680201646-5383,https://cocktailflow.com/collection/strength-strong,AnacondaWhiskeyShooterStrong,https://cocktailflow.com/cocktail/anaconda,ice cubes
1680201646-5384,https://cocktailflow.com/collection/strength-strong,AnacondaWhiskeyShooterStrong,https://cocktailflow.com/cocktail/anaconda,How to Mix
1680201646-5385,https://cocktailflow.com/collection/strength-strong,AnacondaWhiskeyShooterStrong,https://cocktailflow.com/cocktail/anaconda,fill up the shaker with ice
1680201646-5386,https://cocktailflow.com/collection/strength-strong,AnacondaWhiskeyShooterStrong,https://cocktailflow.com/cocktail/anaconda,"pour whiskey,white sambuca into the shaker"
1680201646-5387,https://cocktailflow.com/collection/strength-strong,AnacondaWhiskeyShooterStrong,https://cocktailflow.com/cocktail/anaconda,shake well
1680201646-5388,https://cocktailflow.com/collection/strength-strong,AnacondaWhiskeyShooterStrong,https://cocktailflow.com/cocktail/anaconda,strain into the shot glass
1680201648-5389,https://cocktailflow.com/collection/strength-strong,ZambodianVodkaShooterStrong,https://cocktailflow.com/cocktail/zambodian,Ingredients
1680201648-5390,https://cocktailflow.com/collection/strength-strong,ZambodianVodkaShooterStrong,https://cocktailflow.com/cocktail/zambodian,½ parts vodka
1680201648-5391,https://cocktailflow.com/collection/strength-strong,ZambodianVodkaShooterStrong,https://cocktailflow.com/cocktail/zambodian,½ parts brandy
1680201648-5392,https://cocktailflow.com/collection/strength-strong,ZambodianVodkaShooterStrong,https://cocktailflow.com/cocktail/zambodian,½ parts pineapple juice
1680201648-5393,https://cocktailflow.com/collection/strength-strong,ZambodianVodkaShooterStrong,https://cocktailflow.com/cocktail/zambodian,ice
1680201648-5394,https://cocktailflow.com/collection/strength-strong,ZambodianVodkaShooterStrong,https://cocktailflow.com/cocktail/zambodian,How to Mix
1680201648-5395,https://cocktailflow.com/collection/strength-strong,ZambodianVodkaShooterStrong,https://cocktailflow.com/cocktail/zambodian,add ice to the shaker
1680201648-5396,https://cocktailflow.com/collection/strength-strong,ZambodianVodkaShooterStrong,https://cocktailflow.com/cocktail/zambodian,"pour vodka,pineapple juice,brandy into the shaker"
1680201648-5397,https://cocktailflow.com/collection/strength-strong,ZambodianVodkaShooterStrong,https://cocktailflow.com/cocktail/zambodian,shake well
1680201648-5398,https://cocktailflow.com/collection/strength-strong,ZambodianVodkaShooterStrong,https://cocktailflow.com/cocktail/zambodian,strain into the shot glass
