web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681401443-5168","https://cocktailflow.com/collection/color-transparent","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","Ingredients"
"1681401443-5169","https://cocktailflow.com/collection/color-transparent","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","¾ parts vodka"
"1681401443-5170","https://cocktailflow.com/collection/color-transparent","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","¾ parts Triple sec"
"1681401443-5171","https://cocktailflow.com/collection/color-transparent","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","¾ parts lime juice"
"1681401443-5172","https://cocktailflow.com/collection/color-transparent","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","ice cubes"
"1681401443-5173","https://cocktailflow.com/collection/color-transparent","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","How to Mix"
"1681401443-5174","https://cocktailflow.com/collection/color-transparent","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","fill up the shaker with ice"
"1681401443-5175","https://cocktailflow.com/collection/color-transparent","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","pour lime juice,Triple sec,vodka into the shaker"
"1681401443-5176","https://cocktailflow.com/collection/color-transparent","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","shake well"
"1681401443-5177","https://cocktailflow.com/collection/color-transparent","KamikazeVodkaShooterStrong","https://cocktailflow.com/cocktail/kamikaze","strain into the shot glass"
"1681401446-5178","https://cocktailflow.com/collection/color-transparent","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","Ingredients"
"1681401446-5179","https://cocktailflow.com/collection/color-transparent","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","1 part vodka"
"1681401446-5180","https://cocktailflow.com/collection/color-transparent","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","1 piece cherry"
"1681401446-5181","https://cocktailflow.com/collection/color-transparent","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","How to Mix"
"1681401446-5182","https://cocktailflow.com/collection/color-transparent","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","pour vodka into the shot glass"
"1681401446-5183","https://cocktailflow.com/collection/color-transparent","Amarena ChupitoVodkaShooterExtreme Strong","https://cocktailflow.com/cocktail/amarena-chupito","garnish with cocktail cherry"
"1681401448-5184","https://cocktailflow.com/collection/color-transparent","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","Ingredients"
"1681401448-5185","https://cocktailflow.com/collection/color-transparent","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","1 part white rum"
"1681401448-5186","https://cocktailflow.com/collection/color-transparent","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","1 part Goldschläger"
"1681401448-5187","https://cocktailflow.com/collection/color-transparent","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","1 dash tabasco sauce"
"1681401448-5188","https://cocktailflow.com/collection/color-transparent","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","How to Mix"
"1681401448-5189","https://cocktailflow.com/collection/color-transparent","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","fill up the shaker with ice"
"1681401448-5190","https://cocktailflow.com/collection/color-transparent","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","pour Goldschläger,white rum into the shaker"
"1681401448-5191","https://cocktailflow.com/collection/color-transparent","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","shake well"
"1681401448-5192","https://cocktailflow.com/collection/color-transparent","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","strain into the shot glass"
"1681401448-5193","https://cocktailflow.com/collection/color-transparent","FireballRumShooterStrong","https://cocktailflow.com/cocktail/fireball","add tabasco sauce drop by drop"
"1681401450-5194","https://cocktailflow.com/collection/color-transparent","Peach Tart CocktailLiqueurShooterMedium","https://cocktailflow.com/cocktail/peach-tart","Ingredients"
"1681401450-5195","https://cocktailflow.com/collection/color-transparent","Peach Tart CocktailLiqueurShooterMedium","https://cocktailflow.com/cocktail/peach-tart","1½ parts peach schnapps"
"1681401450-5196","https://cocktailflow.com/collection/color-transparent","Peach Tart CocktailLiqueurShooterMedium","https://cocktailflow.com/cocktail/peach-tart","1½ parts lime juice"
"1681401450-5197","https://cocktailflow.com/collection/color-transparent","Peach Tart CocktailLiqueurShooterMedium","https://cocktailflow.com/cocktail/peach-tart","How to Mix"
