web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681146740-8832","https://cocktailflow.com/collection/type-tropical","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","Ingredients"
"1681146740-8833","https://cocktailflow.com/collection/type-tropical","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","½ parts jägermeister"
"1681146740-8834","https://cocktailflow.com/collection/type-tropical","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","½ parts coconut rum"
"1681146740-8835","https://cocktailflow.com/collection/type-tropical","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","½ parts pineapple juice"
"1681146740-8836","https://cocktailflow.com/collection/type-tropical","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","How to Mix"
"1681146740-8837","https://cocktailflow.com/collection/type-tropical","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","fill up the shaker with ice"
"1681146740-8838","https://cocktailflow.com/collection/type-tropical","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","pour pineapple juice,coconut rum,jägermeister into the shaker"
"1681146740-8839","https://cocktailflow.com/collection/type-tropical","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","shake well"
"1681146740-8840","https://cocktailflow.com/collection/type-tropical","Surfer on AcidLiqueurShooterTropicalMedium","https://cocktailflow.com/cocktail/surfer-on-acid","strain into the shot glass"
"1681146742-8841","https://cocktailflow.com/collection/type-tropical","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","Ingredients"
"1681146742-8842","https://cocktailflow.com/collection/type-tropical","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","1 part white rum"
"1681146742-8843","https://cocktailflow.com/collection/type-tropical","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","1 tsp sugar syrup"
"1681146742-8844","https://cocktailflow.com/collection/type-tropical","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","1 part lime juice"
