web-scraper-order,web-scraper-start-url,drink-name,drink-name-href,drink-info
"1680199687-2306","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","Ingredients"
"1680199687-2307","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","1 part white rum"
"1680199687-2308","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","1 tsp sugar syrup"
"1680199687-2309","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","1 part lime juice"
"1680199687-2310","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","2 parts pineapple juice"
"1680199687-2311","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","2 parts ginger ale"
"1680199687-2312","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","ice cubes"
"1680199687-2313","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","How to Mix"
"1680199687-2314","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","fill up the glass with ice"
"1680199687-2315","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","fill up the shaker with ice"
"1680199687-2316","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","pour ginger ale,pineapple juice,lime juice,sugar syrup,white rum into the shaker"
"1680199687-2317","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","shake well"
"1680199687-2318","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","strain into the old fashioned glass"
"1680199687-2319","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","fill up the glass with ginger ale"
"1680199687-2320","https://cocktailflow.com/collection/strength-weak","Havana BeachRumTropicalWeak","https://cocktailflow.com/cocktail/havana-beach","garnish with orange wedge"
"1680199689-2321","https://cocktailflow.com/collection/strength-weak","Lemon Sherbet SurpriseLiqueurShortFrozenWeak","https://cocktailflow.com/cocktail/lemon-sherbet-surprise","Ingredients"
"1680199689-2322","https://cocktailflow.com/collection/strength-weak","Lemon Sherbet SurpriseLiqueurShortFrozenWeak","https://cocktailflow.com/cocktail/lemon-sherbet-surprise","1 part tequila"
"1680199689-2323","https://cocktailflow.com/collection/strength-weak","Lemon Sherbet SurpriseLiqueurShortFrozenWeak","https://cocktailflow.com/cocktail/lemon-sherbet-surprise","3 parts orange juice"
"1680199689-2324","https://cocktailflow.com/collection/strength-weak","Lemon Sherbet SurpriseLiqueurShortFrozenWeak","https://cocktailflow.com/cocktail/lemon-sherbet-surprise","3 scoops lemon sherbet"
"1680199689-2325","https://cocktailflow.com/collection/strength-weak","Lemon Sherbet SurpriseLiqueurShortFrozenWeak","https://cocktailflow.com/cocktail/lemon-sherbet-surprise","How to Mix"
"1680199689-2326","https://cocktailflow.com/collection/strength-weak","Lemon Sherbet SurpriseLiqueurShortFrozenWeak","https://cocktailflow.com/cocktail/lemon-sherbet-surprise","add tequila,orange juice,lemon sherbet to the blender"
"1680199689-2327","https://cocktailflow.com/collection/strength-weak","Lemon Sherbet SurpriseLiqueurShortFrozenWeak","https://cocktailflow.com/cocktail/lemon-sherbet-surprise","blend together"
"1680199689-2328","https://cocktailflow.com/collection/strength-weak","Lemon Sherbet SurpriseLiqueurShortFrozenWeak","https://cocktailflow.com/cocktail/lemon-sherbet-surprise","pour tequila,orange juice,lemon sherbet into the old fashioned glass"
"1680199692-2329","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","Ingredients"
"1680199692-2330","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","3 parts Bourbon"
"1680199692-2331","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","¾ parts lime juice"
"1680199692-2332","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","¾ parts maple syrup"
"1680199692-2333","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","1 bottle ginger beer"
"1680199692-2334","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","ice"
"1680199692-2335","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","How to Mix"
"1680199692-2336","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","add ice to the shaker"
"1680199692-2337","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","add maple syrup,lime juice to the shaker"
"1680199692-2338","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","shake well"
"1680199692-2339","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","add ice to the old fashioned glass"
"1680199692-2340","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","strain into the glass"
"1680199692-2341","https://cocktailflow.com/collection/strength-weak","The Nor'easter CocktailWhiskeyLongdrinkWeak","https://cocktailflow.com/cocktail/the-nor-easter","pour ginger beer into the glass"
"1680199694-2342","https://cocktailflow.com/collection/strength-weak","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","Ingredients"
"1680199694-2343","https://cocktailflow.com/collection/strength-weak","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","1½ parts Midori"
"1680199694-2344","https://cocktailflow.com/collection/strength-weak","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","2 parts red wine"
"1680199694-2345","https://cocktailflow.com/collection/strength-weak","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","2 parts lemon juice"
"1680199694-2346","https://cocktailflow.com/collection/strength-weak","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","1 cup apple"
"1680199694-2347","https://cocktailflow.com/collection/strength-weak","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","1 cup pear"
"1680199694-2348","https://cocktailflow.com/collection/strength-weak","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","1 part Sprite"
"1680199694-2349","https://cocktailflow.com/collection/strength-weak","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","ice"
"1680199694-2350","https://cocktailflow.com/collection/strength-weak","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","How to Mix"
"1680199694-2351","https://cocktailflow.com/collection/strength-weak","Sassy SangriaWineLongdrinkWeak","https://cocktailflow.com/cocktail/sassy-sangria","fill up the sour glass with ice"
