web-scraper-order,web-scraper-start-url,drink_name,drink_name-href,drink_info
"1681401720-5849","https://cocktailflow.com/collection/color-yellow","Holiday AlmondGinShortMedium","https://cocktailflow.com/cocktail/holiday-almond","Ingredients"
"1681401720-5850","https://cocktailflow.com/collection/color-yellow","Holiday AlmondGinShortMedium","https://cocktailflow.com/cocktail/holiday-almond","1 part gin"
"1681401720-5851","https://cocktailflow.com/collection/color-yellow","Holiday AlmondGinShortMedium","https://cocktailflow.com/cocktail/holiday-almond","½ parts Amaretto"
"1681401720-5852","https://cocktailflow.com/collection/color-yellow","Holiday AlmondGinShortMedium","https://cocktailflow.com/cocktail/holiday-almond","1 dash angostura"
"1681401720-5853","https://cocktailflow.com/collection/color-yellow","Holiday AlmondGinShortMedium","https://cocktailflow.com/cocktail/holiday-almond","1 dash lime juice"
"1681401720-5854","https://cocktailflow.com/collection/color-yellow","Holiday AlmondGinShortMedium","https://cocktailflow.com/cocktail/holiday-almond","ice cubes"
"1681401720-5855","https://cocktailflow.com/collection/color-yellow","Holiday AlmondGinShortMedium","https://cocktailflow.com/cocktail/holiday-almond","How to Mix"
"1681401720-5856","https://cocktailflow.com/collection/color-yellow","Holiday AlmondGinShortMedium","https://cocktailflow.com/cocktail/holiday-almond","fill up the snifter glass with ice"
"1681401720-5857","https://cocktailflow.com/collection/color-yellow","Holiday AlmondGinShortMedium","https://cocktailflow.com/cocktail/holiday-almond","pour lime juice,angostura,Amaretto,gin into the glass"
"1681401720-5858","https://cocktailflow.com/collection/color-yellow","Holiday AlmondGinShortMedium","https://cocktailflow.com/cocktail/holiday-almond","stir together"
"1681401723-5859","https://cocktailflow.com/collection/color-yellow","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","Ingredients"
"1681401723-5860","https://cocktailflow.com/collection/color-yellow","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","1½ parts canadian whisky"
"1681401723-5861","https://cocktailflow.com/collection/color-yellow","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","½ parts Amaretto"
"1681401723-5862","https://cocktailflow.com/collection/color-yellow","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","How to Mix"
"1681401723-5863","https://cocktailflow.com/collection/color-yellow","Red RoyalWhiskeyShooterExtreme Strong","https://cocktailflow.com/cocktail/red-royal","pour Amaretto,canadian whisky into the shot glass"
"1681401725-5864","https://cocktailflow.com/collection/color-yellow","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","Ingredients"
"1681401725-5865","https://cocktailflow.com/collection/color-yellow","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","1 part vodka"
"1681401725-5866","https://cocktailflow.com/collection/color-yellow","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","1 part apple juice"
"1681401725-5867","https://cocktailflow.com/collection/color-yellow","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","1  whipped cream"
"1681401725-5868","https://cocktailflow.com/collection/color-yellow","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","How to Mix"
"1681401725-5869","https://cocktailflow.com/collection/color-yellow","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","pour apple juice,vodka into the shot glass"
"1681401725-5870","https://cocktailflow.com/collection/color-yellow","Apple PieVodkaShooterCreamyMedium","https://cocktailflow.com/cocktail/apple-pie","garnish with whipped cream"
"1681401727-5871","https://cocktailflow.com/collection/color-yellow","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","Ingredients"
"1681401727-5872","https://cocktailflow.com/collection/color-yellow","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","1 part tequila"
"1681401727-5873","https://cocktailflow.com/collection/color-yellow","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","1 part ginger ale"
"1681401727-5874","https://cocktailflow.com/collection/color-yellow","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","How to Mix"
"1681401727-5875","https://cocktailflow.com/collection/color-yellow","Tequila SlammerTequilaShooterMedium","https://cocktailflow.com/cocktail/tequila-slammer","pour ginger ale,tequila into the shot glass"
